,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,-0.39159653,-0.35465005,-0.48080903,-0.42069614,-0.3762393,-0.5311177,-0.4171,-0.5017388,-0.38747317,-0.35892487,-0.34642476,-0.2976572,-0.59831053,-0.45791984,-0.46700484,-0.44756442,-0.45901912,-0.4802563,-0.37380043,-0.2073422,-0.3504877,-0.43942854,-0.4157528,-0.24221933,-0.39393708,-0.4318325,-0.40203795,-0.42806366,-0.4417066,-0.26103288,-0.42377445,-0.3265425,-0.34317502,-0.41701537,-0.39712262,-0.37229222,-0.42135555
1,-0.31441998,-0.3117854,-0.44223163,-0.4127283,-0.35236606,-0.48172697,-0.37672034,-0.44084543,-0.3600006,-0.2740756,-0.29046565,-0.26229754,-0.5503817,-0.44335452,-0.4264162,-0.4122373,-0.43435812,-0.45086458,-0.35573146,-0.084316045,-0.30640146,-0.4000702,-0.39589006,-0.24538484,-0.36688393,-0.4072799,-0.3639983,-0.40103173,-0.37601167,-0.24934304,-0.39970636,-0.3017222,-0.3188856,-0.39046797,-0.35084197,-0.3292628,-0.3911539
2,-0.34460497,-0.30946842,-0.4431434,-0.40490684,-0.34248814,-0.50766456,-0.37652647,-0.45150906,-0.35851377,-0.28864583,-0.29314724,-0.24971813,-0.585593,-0.426562,-0.43803516,-0.42286506,-0.43918425,-0.45343003,-0.33763638,-0.13996299,-0.31223208,-0.40260273,-0.39732525,-0.21872568,-0.36713216,-0.407326,-0.35012844,-0.3927616,-0.40248403,-0.21953471,-0.38676816,-0.26538196,-0.31115517,-0.38968748,-0.36265233,-0.33123046,-0.37730157
3,-0.31301638,-0.27626216,-0.38205796,-0.35213265,-0.30081305,-0.4208119,-0.33274394,-0.39264864,-0.32216686,-0.25989455,-0.2651611,-0.23176703,-0.5032543,-0.3608756,-0.3861484,-0.37266436,-0.38621005,-0.3937103,-0.2864761,-0.15777564,-0.2799835,-0.35432014,-0.34966788,-0.17617153,-0.3281134,-0.36178315,-0.3069851,-0.34686074,-0.35473937,-0.19978835,-0.3305686,-0.23513764,-0.28043956,-0.34218076,-0.329548,-0.30034676,-0.32517162
4,-0.28293636,-0.2471149,-0.33790636,-0.29212895,-0.25279495,-0.37738994,-0.29824838,-0.3513463,-0.27413395,-0.25048915,-0.24346572,-0.19262308,-0.43624243,-0.31189072,-0.3365235,-0.32072768,-0.32687968,-0.3419661,-0.24988896,-0.15990035,-0.23708466,-0.31448215,-0.29097027,-0.12320038,-0.27952367,-0.30522436,-0.27498516,-0.29901132,-0.32593414,-0.16140448,-0.28966963,-0.20121452,-0.23873805,-0.28676552,-0.28650993,-0.26215392,-0.28711674
5,-0.36175057,-0.32998383,-0.4582168,-0.40716898,-0.36276072,-0.5363143,-0.39317185,-0.4681502,-0.3709433,-0.31242174,-0.31597602,-0.25393194,-0.593304,-0.44172344,-0.44676694,-0.43145373,-0.44397277,-0.46289396,-0.3569106,-0.15028486,-0.33116466,-0.4120139,-0.40362105,-0.22611874,-0.37690228,-0.4151114,-0.37073487,-0.40216497,-0.41688222,-0.22904088,-0.40615723,-0.28393966,-0.32327747,-0.4008162,-0.3726156,-0.3445844,-0.39696023
6,-0.3301045,-0.31474602,-0.4194923,-0.35830802,-0.3231595,-0.47397253,-0.36554715,-0.43347126,-0.33547208,-0.30570528,-0.30760124,-0.23595616,-0.50789493,-0.3979957,-0.40263328,-0.38741437,-0.39212015,-0.41551614,-0.32868066,-0.16935386,-0.29221818,-0.38132146,-0.36309263,-0.17700416,-0.34092772,-0.37395552,-0.35005948,-0.37049177,-0.3827712,-0.2038728,-0.3736069,-0.26010787,-0.2968991,-0.36177197,-0.3441302,-0.32641694,-0.36542898
7,-0.26505607,-0.23541111,-0.33117694,-0.25806776,-0.2267542,-0.37157077,-0.27890858,-0.35927323,-0.25182503,-0.24727088,-0.24253227,-0.16350766,-0.4264468,-0.2909732,-0.32038403,-0.30293,-0.3014727,-0.32430616,-0.23283465,-0.20352882,-0.2079453,-0.29725608,-0.27802822,-0.081048265,-0.25621745,-0.28726292,-0.26607522,-0.28916654,-0.3083543,-0.11733726,-0.27913982,-0.17144334,-0.21042709,-0.26902795,-0.27575102,-0.25835112,-0.27025726
8,-0.32444844,-0.28853607,-0.41171908,-0.37500384,-0.31488723,-0.4674784,-0.3586074,-0.4198605,-0.33927807,-0.27389872,-0.27956414,-0.22596288,-0.5336878,-0.3965798,-0.4093276,-0.39303175,-0.408371,-0.42086932,-0.30945155,-0.14432503,-0.2856473,-0.37853676,-0.36345586,-0.17542027,-0.34517905,-0.37837583,-0.32822707,-0.364525,-0.37919188,-0.20192504,-0.35906082,-0.24030744,-0.29343063,-0.35976154,-0.3407336,-0.30971903,-0.35140723
9,-0.32668072,-0.2874088,-0.39722064,-0.3706165,-0.31976512,-0.4383018,-0.3461768,-0.40761292,-0.33165807,-0.28513137,-0.28143433,-0.24016131,-0.50024164,-0.3861126,-0.38925675,-0.37711513,-0.39213848,-0.40257266,-0.31073147,-0.14822721,-0.30098328,-0.3648102,-0.3553063,-0.20897281,-0.33711717,-0.36505225,-0.32686123,-0.35723612,-0.3648253,-0.22067106,-0.35141176,-0.25545478,-0.2948892,-0.35397807,-0.332267,-0.30566567,-0.34837568
