,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,-0.8909485,-0.77876663,-1.0158719,-0.71421605,-0.8947496,-1.6672957,-0.8649091,-0.8662862,-0.7782477,-0.7805085,-0.7640105,-0.68627405,-0.9073898,-0.9768032,-0.807195,-0.81014025,-0.78912807,-0.91527355,-0.85186845,-0.44750044,-0.84162736,-0.80846125,-0.8147687,-0.5340168,-0.81038463,-0.6778662,-0.74487656,-0.78369653,-0.68013304,-0.5100349,-0.8890261,-0.54991126,-0.79673356,-0.8336557,-0.74304014,-0.8313857,-0.81529754
1,-0.8632818,-0.78795797,-0.94670975,-0.726678,-0.8751505,-1.4339604,-0.84402716,-0.85154736,-0.7537696,-0.78881246,-0.76027113,-0.72909796,-0.8523313,-0.9108892,-0.77519673,-0.7844736,-0.7673332,-0.94495326,-0.8266109,-0.5406918,-0.82794905,-0.7755334,-0.7964659,-0.5928966,-0.7765788,-0.6943683,-0.7285791,-0.775242,-0.7053884,-0.5279829,-0.85743225,-0.5963493,-0.7842001,-0.78603536,-0.72423303,-0.853994,-0.78231215
2,-0.76847893,-0.6649331,-0.8675462,-0.6159513,-0.7662956,-1.3589292,-0.74996555,-0.73557574,-0.6734785,-0.67434275,-0.66154295,-0.58193153,-0.78711575,-0.8306733,-0.69965774,-0.70056444,-0.6804184,-0.7814452,-0.7250852,-0.44839507,-0.720689,-0.70226806,-0.6969959,-0.45051613,-0.70295155,-0.5766757,-0.63644266,-0.66845864,-0.5805321,-0.43065104,-0.7580654,-0.4517088,-0.6883979,-0.71666014,-0.6450544,-0.71368116,-0.6954549
3,-0.79259336,-0.6990907,-0.9042851,-0.64198625,-0.79577935,-1.4979188,-0.7763076,-0.76384413,-0.68959916,-0.6936686,-0.6835923,-0.59976304,-0.80539715,-0.8573103,-0.71596944,-0.7202897,-0.699664,-0.80445087,-0.75162137,-0.48986313,-0.7432691,-0.7201749,-0.7221246,-0.44903812,-0.7189983,-0.5973933,-0.6543609,-0.69206595,-0.6037748,-0.4293681,-0.79037166,-0.46532366,-0.7101754,-0.71333873,-0.6610414,-0.74406123,-0.71164703
4,-0.78028214,-0.74138635,-0.8192274,-0.67057896,-0.79676634,-1.1844372,-0.77904314,-0.7936375,-0.6831443,-0.7218275,-0.68280804,-0.71609575,-0.74114764,-0.8120949,-0.6882207,-0.71001744,-0.6949979,-0.9020387,-0.7347264,-0.51950467,-0.7759322,-0.68862695,-0.7040816,-0.57250196,-0.6958991,-0.6682355,-0.6467186,-0.7099738,-0.68005854,-0.48540124,-0.7611363,-0.6018132,-0.7200228,-0.65429485,-0.6454661,-0.81014967,-0.6859599
5,-0.74887294,-0.6593743,-0.8406853,-0.61097413,-0.75137866,-1.3197485,-0.7451482,-0.72365147,-0.65565205,-0.6764557,-0.66515046,-0.58313334,-0.7628934,-0.7934096,-0.68231565,-0.68674046,-0.66262376,-0.79305816,-0.7146973,-0.56792027,-0.70405436,-0.68927556,-0.6817379,-0.42868686,-0.6861658,-0.5699621,-0.61830163,-0.65632915,-0.58644456,-0.41328537,-0.74545634,-0.442435,-0.687182,-0.65809506,-0.63764447,-0.7159233,-0.666966
6,-0.8826736,-0.7740263,-0.98960525,-0.71823996,-0.8828011,-1.5491592,-0.86304873,-0.8486643,-0.76451457,-0.7840386,-0.77353996,-0.68567175,-0.89144164,-0.9370177,-0.79711026,-0.80225956,-0.7763871,-0.9139569,-0.8373313,-0.5813445,-0.82631993,-0.8020467,-0.8012615,-0.5182922,-0.79884046,-0.66795164,-0.7308719,-0.7733258,-0.67892206,-0.4874721,-0.8747777,-0.528791,-0.79438746,-0.7895332,-0.7415163,-0.8371569,-0.78904843
7,-0.7827363,-0.719154,-0.85869676,-0.64784074,-0.79865044,-1.3225775,-0.7530234,-0.7743605,-0.6724607,-0.71094215,-0.66647106,-0.67272717,-0.7652125,-0.8329316,-0.68917984,-0.6990638,-0.6856216,-0.8575692,-0.7361554,-0.44572705,-0.7583974,-0.68681175,-0.7150323,-0.55400103,-0.6900947,-0.6299846,-0.6454564,-0.6935292,-0.63265485,-0.46534535,-0.7682256,-0.5672209,-0.6950296,-0.7142666,-0.634998,-0.7786872,-0.7015641
8,-0.873734,-0.78424954,-0.9605888,-0.71774983,-0.8794966,-1.4498047,-0.85762024,-0.8635477,-0.76650596,-0.7677159,-0.74371004,-0.71734524,-0.8644178,-0.94636756,-0.7818321,-0.7932904,-0.7776634,-0.928376,-0.82285166,-0.4616429,-0.8450077,-0.78121996,-0.7897422,-0.569744,-0.78957814,-0.6955939,-0.7257829,-0.7759969,-0.6992493,-0.5112421,-0.85793656,-0.58751893,-0.78551507,-0.7941554,-0.7207752,-0.8446077,-0.78788066
9,-0.7691932,-0.7320311,-0.80849534,-0.66493493,-0.7823252,-1.0894147,-0.74846834,-0.7780276,-0.68459034,-0.70542645,-0.655263,-0.70134133,-0.73738515,-0.819473,-0.6841978,-0.6998771,-0.6948137,-0.8482876,-0.7216037,-0.35743713,-0.76614594,-0.6780679,-0.7042638,-0.6294052,-0.6908515,-0.6667997,-0.65415925,-0.7044918,-0.6631677,-0.52225083,-0.7453883,-0.63110274,-0.6962596,-0.7256701,-0.63362366,-0.7780266,-0.7034277
10,-0.7993798,-0.7178425,-0.9065224,-0.6567766,-0.8105748,-1.4556456,-0.78767204,-0.80239284,-0.7040393,-0.70732164,-0.6966176,-0.65333384,-0.80310184,-0.88159025,-0.72582096,-0.7346393,-0.7172305,-0.850649,-0.77826273,-0.42182758,-0.7748829,-0.72598404,-0.73734033,-0.5120744,-0.73008496,-0.63635314,-0.68209136,-0.72300994,-0.6390424,-0.47727293,-0.8077777,-0.5356015,-0.72697973,-0.730811,-0.67390203,-0.765599,-0.7370861
11,-0.64594936,-0.6061709,-0.67750007,-0.54976445,-0.6539255,-0.98046863,-0.6240982,-0.63215286,-0.5579616,-0.59882647,-0.5530957,-0.5798071,-0.6211558,-0.6628737,-0.5664784,-0.57883215,-0.5669956,-0.71045864,-0.589976,-0.40975296,-0.6265981,-0.56580395,-0.5783793,-0.5022315,-0.56969655,-0.53709966,-0.52545077,-0.5728157,-0.54047346,-0.39775833,-0.6143329,-0.5041404,-0.57874614,-0.5622955,-0.5262334,-0.6570918,-0.5626183
12,-0.7620444,-0.72865266,-0.8126678,-0.6504978,-0.7863561,-1.1905395,-0.7482502,-0.78126574,-0.6597205,-0.7092965,-0.6601295,-0.71231663,-0.7217059,-0.8033019,-0.6662817,-0.6864222,-0.6750056,-0.89288867,-0.72487015,-0.39243257,-0.760368,-0.66244316,-0.69788235,-0.59304273,-0.6701795,-0.6530759,-0.63456345,-0.6954009,-0.66387296,-0.47792947,-0.7509773,-0.6139191,-0.6951252,-0.6592929,-0.62003076,-0.79649687,-0.6796267
13,-0.7585258,-0.66157144,-0.87746114,-0.60867816,-0.761728,-1.4303323,-0.741815,-0.7338744,-0.6644693,-0.6634182,-0.64962554,-0.5697741,-0.78379995,-0.8373621,-0.6912538,-0.69192183,-0.6733728,-0.7607257,-0.72399825,-0.45033684,-0.7152746,-0.6950104,-0.69670033,-0.46398968,-0.6951574,-0.5708074,-0.63181406,-0.6629528,-0.56943476,-0.42370218,-0.759416,-0.45785576,-0.67860395,-0.7199047,-0.6346876,-0.6999239,-0.69281745
14,-0.5491563,-0.5328026,-0.5635127,-0.4838895,-0.56023157,-0.66928023,-0.52224755,-0.5592983,-0.49746698,-0.49815595,-0.4542154,-0.5065595,-0.51801425,-0.59239835,-0.48962194,-0.50054985,-0.5043209,-0.58261716,-0.50782305,-0.1644133,-0.55541134,-0.47950968,-0.50900817,-0.4480858,-0.4936868,-0.4894836,-0.47938007,-0.5110456,-0.47870705,-0.3976533,-0.5246669,-0.46356383,-0.48902804,-0.5497321,-0.45016095,-0.5526565,-0.51652986
15,-0.7190728,-0.6987095,-0.72936237,-0.62212104,-0.73622876,-1.0080179,-0.69866824,-0.72655296,-0.62316954,-0.67018116,-0.6054337,-0.6758916,-0.6642436,-0.7342755,-0.6200944,-0.6434012,-0.63205004,-0.8299167,-0.6529845,-0.3778495,-0.7173135,-0.6147833,-0.6393392,-0.5785935,-0.6257361,-0.62387705,-0.5837269,-0.6493735,-0.629756,-0.45443493,-0.67819494,-0.5941397,-0.6473799,-0.601326,-0.5750267,-0.7576594,-0.6220613
16,-0.6748726,-0.6014043,-0.7421886,-0.55734867,-0.67336226,-1.1351506,-0.67036766,-0.6662369,-0.6014489,-0.5964545,-0.58833694,-0.5589732,-0.67770654,-0.72756684,-0.6160231,-0.62300235,-0.6080479,-0.70805186,-0.6432195,-0.4098034,-0.6535679,-0.61883396,-0.6097091,-0.4704665,-0.62309575,-0.544073,-0.5709246,-0.6042127,-0.5458656,-0.41350284,-0.6665085,-0.47300303,-0.61639774,-0.6056511,-0.5744573,-0.6442986,-0.61237895
17,-0.7281474,-0.64388406,-0.835962,-0.5908893,-0.73486626,-1.2870486,-0.700351,-0.72170174,-0.6509485,-0.6239366,-0.602501,-0.5553867,-0.7417241,-0.83603394,-0.66306806,-0.6639128,-0.66065675,-0.71946096,-0.69678956,-0.26423222,-0.7046198,-0.65804404,-0.67936134,-0.4634768,-0.66868913,-0.5711093,-0.62775433,-0.6509055,-0.55540735,-0.4584407,-0.72887665,-0.46962592,-0.64158326,-0.76704866,-0.60102916,-0.6659922,-0.69635373
