,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,-0.48575968,-0.39070064,-0.5195511,-0.3668136,-0.43262473,-0.7770754,-0.42223248,-0.4976281,-0.43570495,-0.34777245,-0.36658138,-0.40485308,-0.28084043,-0.5534539,-0.46476972,-0.40994638,-0.4395939,-0.40163776,-0.43027192,-0.16483894,-0.43885836,-0.44348392,-0.40298036,-0.17039725,-0.45969573,-0.389558,-0.38651255,-0.40095153,-0.34385243,-0.3021151,-0.4513617,-0.12956263,-0.41875613,-0.5523966,-0.44977593,-0.39539078,-0.43404928
1,-0.54656863,-0.47883204,-0.58550644,-0.42388505,-0.53210926,-0.8879452,-0.51205474,-0.5678523,-0.47349253,-0.42003894,-0.47389245,-0.4762383,-0.32980147,-0.60894257,-0.51964694,-0.4776224,-0.5011112,-0.47331226,-0.5254315,-0.2788884,-0.512509,-0.49073318,-0.4383241,-0.2778328,-0.49006566,-0.46526685,-0.47150993,-0.4851304,-0.43553343,-0.38285452,-0.5368024,-0.18923892,-0.49793717,-0.5986228,-0.5177802,-0.46187803,-0.5138703
2,-0.66251713,-0.55739534,-0.70748365,-0.50948673,-0.63034135,-1.009211,-0.60090655,-0.67420906,-0.5731377,-0.5142111,-0.5574159,-0.54638773,-0.33583984,-0.73921096,-0.6234422,-0.5671606,-0.5984616,-0.5608036,-0.6265905,-0.32682005,-0.610477,-0.592144,-0.534979,-0.26611972,-0.59361297,-0.5456536,-0.56426775,-0.58152115,-0.49883774,-0.42806476,-0.64150083,-0.15093169,-0.5947188,-0.72542465,-0.6220898,-0.53895843,-0.6171658
3,-0.52721006,-0.44857717,-0.5593253,-0.40024933,-0.5005974,-0.8245252,-0.48464733,-0.5400067,-0.46293548,-0.39620787,-0.43949807,-0.44936958,-0.31045672,-0.58772403,-0.49944994,-0.45495754,-0.48002484,-0.44846824,-0.49542272,-0.23275456,-0.49294654,-0.47398663,-0.426781,-0.25844163,-0.48091358,-0.44141248,-0.4455974,-0.4575613,-0.40580577,-0.36154628,-0.5092918,-0.1819015,-0.4747198,-0.58217025,-0.49514627,-0.43694404,-0.4889367
4,-0.5184424,-0.438843,-0.5566592,-0.4051838,-0.484227,-0.7804744,-0.47169024,-0.545958,-0.4674243,-0.38709626,-0.4204421,-0.45435807,-0.3517742,-0.5832085,-0.5010061,-0.45331106,-0.4772545,-0.4467115,-0.4797625,-0.20052138,-0.4829492,-0.47767583,-0.4354354,-0.24740313,-0.48691118,-0.4342198,-0.4357254,-0.44986388,-0.4082208,-0.36120299,-0.497948,-0.1879757,-0.46243343,-0.58328485,-0.49105933,-0.44075403,-0.4808207
5,-0.55904406,-0.4559642,-0.5904951,-0.41878203,-0.5142639,-0.8741536,-0.5007331,-0.5454158,-0.47742516,-0.40600932,-0.4578087,-0.44013485,-0.22597648,-0.6000816,-0.5257702,-0.47019038,-0.50366175,-0.46938843,-0.50939614,-0.31215075,-0.49556762,-0.49778348,-0.44227,-0.17116259,-0.4953317,-0.45133066,-0.460705,-0.48086336,-0.4037269,-0.3303448,-0.521441,-0.07201411,-0.4953072,-0.5856398,-0.52131045,-0.43696797,-0.501302
6,-0.5001723,-0.4248706,-0.52628475,-0.38608494,-0.4668257,-0.7642656,-0.45370498,-0.5024734,-0.4390296,-0.3934848,-0.42211467,-0.42109168,-0.27388495,-0.5432045,-0.47292185,-0.4306562,-0.45430732,-0.4271233,-0.46571606,-0.2460416,-0.45708796,-0.45003378,-0.40866572,-0.2074443,-0.45464867,-0.41738436,-0.42431122,-0.436531,-0.3795242,-0.33755654,-0.47525343,-0.15012687,-0.44842297,-0.5362185,-0.46879086,-0.4150833,-0.45987746
7,-0.40706477,-0.32185596,-0.44674072,-0.29489422,-0.3652638,-0.7329822,-0.36086506,-0.42040256,-0.3554035,-0.24903712,-0.2978373,-0.32745582,-0.2156995,-0.4735315,-0.39796725,-0.34213275,-0.37453753,-0.33769685,-0.35744774,-0.19461113,-0.35815567,-0.37216768,-0.3164522,-0.06844963,-0.37842286,-0.32499212,-0.31354088,-0.33332846,-0.28716117,-0.22482267,-0.37801015,-0.009311107,-0.35070342,-0.46674326,-0.38083166,-0.31742603,-0.35717928
8,-0.40964684,-0.30444482,-0.4477339,-0.2880786,-0.35939655,-0.7028277,-0.35287374,-0.40450048,-0.34702834,-0.23934644,-0.29498753,-0.29664484,-0.16521676,-0.46142876,-0.39332646,-0.3343393,-0.36883238,-0.33058578,-0.3539774,-0.21176647,-0.34776345,-0.36718437,-0.31455803,-0.029896164,-0.36857548,-0.3105559,-0.30974078,-0.33414024,-0.27886248,-0.19256993,-0.37224743,0.04010302,-0.348789,-0.44651347,-0.381558,-0.2911927,-0.35046992
9,-0.62384313,-0.55999005,-0.65769154,-0.49909654,-0.61718816,-0.94426894,-0.591285,-0.6460427,-0.5469258,-0.52134967,-0.56138694,-0.55416304,-0.38707274,-0.69276726,-0.58358634,-0.5478198,-0.5688386,-0.5414733,-0.61381537,-0.31102836,-0.60060537,-0.55745196,-0.5157393,-0.40621945,-0.5612261,-0.5404023,-0.5550287,-0.56233513,-0.5077441,-0.4766049,-0.62182987,-0.3216711,-0.5777902,-0.6858183,-0.58848447,-0.54204315,-0.59824246
