,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,-0.9413868,-0.5864845,-0.91409487,-0.35373524,-0.9387563,-1.2025234,-0.8062329,-0.86171955,-0.73343015,-0.8699961,-0.71878564,-0.5535824,-0.90545297,-0.79039234,-0.76147425,-0.7509313,-0.7575759,-0.97127205,-0.8682787,-0.614181,-0.9882379,-0.81539446,-0.557684,-0.8485072,-0.7811501,-0.71869826,-0.76566577,-0.7771743,-0.5186028,-0.5337723,-0.8077652,-0.7122081,-0.84083366,-0.803675,-0.63459015,-0.8508363,-0.69221175
1,-0.8925884,-0.51616466,-0.83783096,-0.42944318,-0.8815416,-1.1542522,-0.71803415,-0.809587,-0.65612024,-0.7904075,-0.66015357,-0.5165999,-0.81800157,-0.7411221,-0.69283324,-0.6508742,-0.6666231,-0.84099656,-0.81382,-0.5250196,-0.93091565,-0.73998415,-0.47932735,-0.78623724,-0.7135898,-0.6560733,-0.6960692,-0.7040701,-0.50170624,-0.479196,-0.764897,-0.65479845,-0.7622664,-0.74439174,-0.5878657,-0.7825047,-0.6283196
2,-0.8602161,-0.5620943,-0.79764,-0.47012007,-0.8438966,-0.9774091,-0.7218801,-0.78761995,-0.67656624,-0.7702967,-0.6497764,-0.5709411,-0.78614104,-0.7467757,-0.6948238,-0.67367965,-0.69368035,-0.8123889,-0.77888614,-0.40844917,-0.8711167,-0.7222785,-0.5395382,-0.7746977,-0.71654344,-0.6672351,-0.69867957,-0.70412135,-0.46026847,-0.5399783,-0.7438654,-0.6699593,-0.7335062,-0.7418203,-0.6176532,-0.7185124,-0.6515251
3,-0.8713257,-0.5495494,-0.8088473,-0.44913238,-0.855505,-1.0469743,-0.72032213,-0.7868095,-0.6678695,-0.7728716,-0.6462594,-0.55236363,-0.7986051,-0.7388659,-0.6899954,-0.67133766,-0.6872109,-0.83387274,-0.7837625,-0.41723993,-0.8926941,-0.7244639,-0.5236583,-0.7786927,-0.71071005,-0.65707266,-0.691028,-0.6999559,-0.41247192,-0.5167698,-0.7412867,-0.6597362,-0.73991984,-0.74059397,-0.5986537,-0.7285388,-0.64005834
4,-0.9870588,-0.6202505,-0.95166427,-0.4721935,-0.9839608,-1.3548381,-0.8205237,-0.9071714,-0.74640465,-0.89686203,-0.75617266,-0.60832834,-0.9332435,-0.82222676,-0.7850778,-0.75492305,-0.7630147,-0.982587,-0.9149133,-0.5782867,-1.0429238,-0.84390545,-0.5628102,-0.8807967,-0.8038502,-0.748681,-0.78792113,-0.7996095,-0.54429257,-0.562465,-0.85470575,-0.73844874,-0.87630177,-0.8379092,-0.67397535,-0.91223294,-0.709417
5,-1.0484698,-0.6490454,-0.98779905,-0.4276254,-1.0353547,-1.252807,-0.87845534,-0.9350278,-0.81427455,-0.9411451,-0.77653265,-0.6285117,-0.98304576,-0.8892246,-0.8403128,-0.82752126,-0.8437481,-1.0203257,-0.94077826,-0.47314686,-1.0820243,-0.8837379,-0.6604492,-0.94508165,-0.86367565,-0.7844627,-0.8329191,-0.84844863,-0.49724174,-0.6224668,-0.8789927,-0.7905848,-0.899214,-0.8998931,-0.70293015,-0.86768556,-0.7793756
6,-0.821674,-0.50465375,-0.7858116,-0.36696544,-0.81650287,-1.0989019,-0.6808243,-0.7612788,-0.6196337,-0.7462719,-0.6234753,-0.4965055,-0.76689357,-0.6865575,-0.6499862,-0.6204851,-0.6308314,-0.8173156,-0.7616172,-0.5883987,-0.86072123,-0.6970318,-0.45092073,-0.7279486,-0.66912687,-0.623863,-0.6593742,-0.66491336,-0.50042695,-0.45422602,-0.7154559,-0.6171828,-0.72204286,-0.68821245,-0.5575778,-0.7539553,-0.58642924
7,-0.9360877,-0.52129626,-0.86676705,-0.39351606,-0.9195429,-1.212398,-0.74185145,-0.82808805,-0.6760386,-0.81579673,-0.6633517,-0.5187086,-0.8513855,-0.7623245,-0.7097881,-0.67734134,-0.6928047,-0.87963533,-0.8335887,-0.47151726,-0.9760107,-0.7586418,-0.5111019,-0.8186238,-0.73419344,-0.6638904,-0.7098429,-0.721283,-0.4392638,-0.4904656,-0.7769767,-0.6665937,-0.77919,-0.7679279,-0.5880008,-0.77270114,-0.64742714
8,-0.7450178,-0.41514632,-0.6923182,-0.33747795,-0.73075384,-1.024061,-0.58466154,-0.6621941,-0.53653693,-0.6456534,-0.54222834,-0.40989155,-0.6753738,-0.6066331,-0.56973124,-0.5262458,-0.54104686,-0.6603689,-0.67052937,-0.34623972,-0.78273845,-0.6077166,-0.40817803,-0.655135,-0.5883083,-0.53230846,-0.5664398,-0.5768401,-0.34219292,-0.39873728,-0.63108295,-0.53814816,-0.62722534,-0.60650474,-0.48048827,-0.6329114,-0.51759094
9,-0.9071775,-0.6045392,-0.86719286,-0.40316388,-0.89743924,-1.0040802,-0.7954511,-0.8263563,-0.73948735,-0.8400388,-0.6999024,-0.58211344,-0.86832297,-0.7864375,-0.75491023,-0.75395465,-0.7655202,-0.9274475,-0.8272131,-0.5291843,-0.92737764,-0.7900074,-0.59543574,-0.8317828,-0.77546203,-0.7111177,-0.75608116,-0.76643205,-0.46761206,-0.569913,-0.7781476,-0.71800905,-0.802193,-0.79343915,-0.6439805,-0.7634268,-0.70509267
