"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"1",301.602818599657,587.187259160954,396.38294128758,341.398968083813,452.565665147655,440.987253915316,405.601210209597,420.202982009938,374.582072682836,410.761586385131,374.166025005853,250.384993397438,471.505917600337,378.9163419207,300.109948941067,334.315867060241,317.462033472382,540.555807944132,314.167595298044,401.098749240407,406.883681285833,403.477671345407,448.929455996678,398.409145814571,408.007644590914,359.665406276516,240.598561382608,399.933189448667,496.162491154122,356.356120174185,429.377009045543,290.658607138653,424.29309616992,514.24623823478
"2",301.267110809552,586.868778465892,396.00125699318,341.049112286692,452.22195917676,440.744759277213,405.257527996358,419.895137301966,374.213632657805,410.42612661595,373.823895432187,250.078574218365,471.144506593266,378.538618191557,299.742897304026,333.931558247135,317.088250938215,540.233050119574,313.842099641252,400.750348220448,406.504576241926,403.120527703341,448.551152450835,398.024375550656,407.637724490382,359.327566908626,240.242085209886,399.568562942838,495.791196787288,356.011227812422,429.027070956891,290.303909862707,423.927290318405,513.905949515644
"3",301.048872834295,586.661739534721,395.753130467515,340.82167693057,451.998521718999,440.587117600761,405.034105983048,419.695012646711,373.974116008396,410.208049874915,373.601482763691,249.879376275417,470.909559389943,378.293066362603,299.504283222246,333.681725566103,316.845261213677,540.02323069862,313.630500401713,400.523858590435,406.258126443529,402.888354642073,448.305223692817,397.774242888231,407.397245668839,359.107943230583,240.010346059186,399.331525397977,495.54982457839,355.787019101957,428.799582104432,290.073327142815,423.689486100794,513.684733555645
"4",300.990937452821,586.606777150457,395.687260607327,340.761299931096,451.939206036952,440.545268648256,404.974794401022,419.641885787233,373.910531802043,410.150157296103,373.542439131259,249.826495429176,470.847188229129,378.227880004155,299.440938619472,333.615402774833,316.78075501411,539.967530180966,313.57432739769,400.46373265177,406.192701702178,402.826719929524,448.23993727145,397.707840461249,407.33340603577,359.049639988203,239.948826536371,399.268599316625,495.485747778818,355.727498676352,428.739190903347,290.012114616341,423.626356491719,513.626007612026
"5",300.954474673852,586.572185486121,395.645804107141,340.723300471513,451.901874538498,440.518930181735,404.937465482997,419.608449346749,373.870513823336,410.113721455836,373.505278852614,249.793213821993,470.807933704639,378.186853679318,299.401071440019,333.573661213507,316.740156760725,539.932473957773,313.538973805849,400.425891202278,406.151525346342,402.787928903325,448.198847970033,397.666048779612,407.293227299203,359.012945688691,239.910108007111,399.228995541913,495.445419776819,355.690038318488,428.701182505699,289.973589301305,423.586624622806,513.589047277123
"6",300.969313218022,586.586262579356,395.662674848388,340.738764368544,451.91706660845,440.529648632437,404.952656502842,419.622056321122,373.886799157625,410.128549037289,373.520401244588,249.806757786885,470.823908350894,378.203549360515,299.417295406484,333.590647960512,316.756678238053,539.946740103442,313.553360965822,400.441290797032,406.16828208272,402.803714928744,448.215569279577,397.6830559231,407.309578053975,359.027878450249,239.925864529868,399.245112315702,495.461831275225,355.705282827834,428.71665004008,289.989267195447,423.602793524587,513.604088301902
"7",301.06125077704,586.673482294124,395.767203618279,340.834576527045,452.011194564117,440.596058664492,405.046777952193,419.706363244708,373.987700827305,410.220418672836,373.614097485181,249.890674312479,470.922885040657,378.306993482648,299.517816849649,333.695895485972,316.859043017208,540.035131160839,313.642501811041,400.536704547557,406.272104494281,402.90152295,448.319172191389,397.788429822336,407.41088505988,359.120399767119,240.023489756729,399.344969607929,495.563514640253,355.799735690708,428.812484735093,290.086405250333,423.702973794614,513.697280402655
"8",301.141189298169,586.749318710561,395.858090034776,340.917883962424,452.093037606865,440.653801330355,405.128615337784,419.7796670268,374.075433526973,410.300298135383,373.695565157244,249.963638648555,471.008943995131,378.396936811915,299.605218947271,333.787406851158,316.948047871685,540.111986044575,313.720008625613,400.619665572342,406.362376741323,402.986565762287,448.409253586232,397.88005106789,407.498970194167,359.200845858167,240.10837363165,399.431794234879,495.651927013939,355.881861236079,428.895811765677,290.170865535507,423.790079246594,513.778309731632
"9",301.187948564206,586.793678490069,395.911253166494,340.966613842321,452.140910904434,440.687577345181,405.176485326252,419.822545366304,374.126751922486,410.347022855674,373.743218885355,250.006318432389,471.059283349553,378.449548293865,299.656343960308,333.840935540579,317.000110401869,540.156941566696,313.76534548838,400.668192822707,406.41518062055,403.03631073415,448.461945828308,397.93364403077,407.550494742906,359.247902022327,240.158025634634,399.482581462024,495.703642978205,355.92989978083,428.9445531076,290.22026976376,423.841030739628,513.825707055187
"10",301.237984351346,586.841146653561,395.968141551786,341.018758328419,452.19213878566,440.723720117116,405.227709666504,419.868428282144,374.181666306988,410.397021676373,373.794211811425,250.051988879342,471.113150089476,378.505846374118,299.711051411614,333.898215098978,317.055821064139,540.205047217751,313.813859201431,400.720120480592,406.471684579766,403.089541441865,448.518330327721,397.990992366408,407.605629726229,359.298255511872,240.211156858944,399.536927458063,495.758982789948,355.981304488459,428.996709858894,290.273135851237,423.895552512016,513.87642560989
"11",301.246071549451,586.848818851078,395.977336323529,341.027186351905,452.200418659879,440.7295618111,405.235988968401,419.875844258812,374.190542024383,410.405102899655,373.802453710247,250.05937051503,471.121856477882,378.514945735874,299.719893682753,333.907473095357,317.064825482538,540.212822451285,313.821700389323,400.728513458508,406.480817217384,403.09814502948,448.527443657257,398.000261479133,407.614541098632,359.30639405967,240.219744367228,399.545711307809,495.767927268415,355.989612942825,429.005139864783,290.281680505911,423.904364772191,513.88462316254
"12",301.219539394702,586.823648213591,395.94717048567,340.999536030934,452.173254381073,440.710396616089,405.208826567244,419.851514220394,374.161422927215,410.378590346863,373.775414019598,250.035153141121,471.093292908461,378.485092915268,299.690884314719,333.877099832652,317.035284148285,540.187313777372,313.795975335002,400.700978113637,406.450855226666,403.069918724764,448.49754501172,397.969851746365,407.585305025947,359.279693438911,240.191570814937,399.516893606333,495.738582582683,355.96235489942,428.977483040025,290.253647546022,423.875453862922,513.857728961031
"13",301.183394214071,586.7893578498,395.906075080167,340.961867554496,452.136248047684,440.684287563054,405.171822791809,419.818369018216,374.121753513372,410.342471870293,373.738577414659,250.002161423613,471.054380298991,378.444423938198,299.651364386637,333.835721848951,316.995039514076,540.152562901127,313.760929680251,400.663466270989,406.410037525397,403.031465576419,448.456813606609,397.92842407891,407.545476254478,359.24331875433,240.153189532068,399.477634788682,495.698605845915,355.925220829013,428.939805703375,290.21545779444,423.836068066797,513.821090558282
"14",301.159624032005,586.766807452313,395.879049478029,340.937095606272,452.111911545087,440.667117447055,405.147487971401,419.796571714214,374.095665687191,410.318719249637,373.714352530709,249.98046505585,471.028790170635,378.417678768507,299.62537486689,333.808510414701,316.968573405298,540.129709656492,313.737882580208,400.638797329961,406.383194550102,403.006177603825,448.43002738232,397.901179971098,407.519283629824,359.219397643409,240.12794882042,399.451816983182,495.67231591473,355.900800322626,428.915027928404,290.190343039655,423.810166756348,513.796996018186
"15",301.145112633013,586.753040716558,395.862550685782,340.921972641566,452.097054414492,440.656635305887,405.132631867761,419.783264732617,374.079739395442,410.304218571667,373.699563541902,249.967219694564,471.013167717186,378.401351176763,299.609508589989,333.791898174273,316.952416176752,540.115758036339,313.723812613752,400.623737249859,406.366807249259,402.990739612691,448.413674727257,397.884547783867,407.503293359916,359.204794104239,240.112539681502,399.436055535682,495.656266240402,355.885891908766,428.89990140654,290.175010795828,423.794354330121,513.782286602673
