"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"1",182.990615019777,206.537988970168,146.870248607046,116.670297426484,206.267790976442,191.801062292201,146.563916359498,162.561273700264,153.223707695339,185.636798828548,181.651309610839,152.513455179955,195.39380126048,193.519837956389,136.914569719482,152.496630401391,154.814893118761,281.0495669163,141.152683298915,201.525982986042,168.634197265496,177.937833525548,164.010397173204,180.461739894505,175.368900819591,225.437659047571,114.667274691468,199.517515773364,188.076292373134,171.127546110849,180.410746982832,143.064404806831,216.280751845053,228.863669740277
"2",182.900424170513,206.452500782331,146.767489554796,116.576421829102,206.175513004648,191.736235179405,146.471788021146,162.478820173773,153.124855264726,185.546787544078,181.559606864386,152.43140769012,195.296704455806,193.418577143681,136.816212283157,152.393511918263,154.71472686178,280.962894832395,141.065473139958,201.432565361974,168.53218035746,177.842108687121,163.908994974979,180.358612545102,175.269720428493,225.34702118168,114.571743842674,199.419760416756,187.976629527607,171.035114877246,180.316994980492,142.969324839005,216.182662046083,228.772482329038
"3",182.842666742163,206.397754897087,146.701683559551,116.516304720393,206.116419001345,191.694720465294,146.412789841786,162.426017659024,153.061551035694,185.489145107446,181.500881230344,152.378865197681,195.234524514218,193.353730607892,136.753225044122,152.327475746639,154.650581269872,280.907390790499,141.009624519521,201.372741535358,168.466849624857,177.780807340677,163.844057897145,180.292570695593,175.206206176444,225.288977487805,114.510566725489,199.357158744288,187.912806315977,170.975922726427,180.256957020964,142.908436462035,216.119846199661,228.714086711145
"4",182.830275513283,206.386009762069,146.687565598069,116.503407247724,206.103741024828,191.685813934323,146.400132423254,162.414689453036,153.047969800978,185.47677854879,181.48828228345,152.367592776655,195.221184483161,193.339818488014,136.739711816167,152.313308403315,154.63681952989,280.895483001206,140.997642804645,201.359906983176,168.452833625813,177.767655802664,163.830126352455,180.27840213414,175.192579883571,225.276524843766,114.497441839515,199.343728235452,187.899113739182,170.963223693425,180.244076528891,142.895373522137,216.10636974213,228.701558565631
"5",182.829586758792,206.385356920081,146.686780864815,116.502690354161,206.103036331746,191.6853188734,146.399428872869,162.414059785646,153.047214901162,185.476091165569,181.487581983154,152.366966210019,195.220442990418,193.339045196266,136.738960696442,152.312520925219,154.636054596864,280.894821118238,140.996976812594,201.359193586987,168.452054560042,177.766924787125,163.829351980998,180.277614588335,175.191822479241,225.275832675573,114.496712305403,199.342981713588,187.898352650524,170.96251782994,180.243360579178,142.894647431238,216.105620666253,228.700862200761
"6",182.86422663388,206.418190629624,146.72624784803,116.538745441719,206.138477814362,191.710217220715,146.434812885312,162.445727963532,153.085181456267,185.510662074658,181.522802537216,152.398478440166,195.257735256904,193.377936746042,136.776737137578,152.35212595615,154.674525757277,280.928109530362,141.030471884848,201.395072779335,168.491236505661,177.803690118342,163.868297833142,180.317223024564,175.229914995132,225.310644237703,114.533403130429,199.380526912128,187.936630464162,170.998018176287,180.279368197211,142.931165085033,216.143294315093,228.735884828452
"7",182.8741912326,206.427635661954,146.73760102553,116.549117144227,206.148673005639,191.717379545613,146.444991544565,162.45483771592,153.096103016621,185.520606834435,181.532934175595,152.407543332212,195.268462849597,193.389124392825,136.787604009241,152.363518844823,154.685592473737,280.937685363646,141.040107166535,201.405393883358,168.502507688486,177.814266131432,163.879501100689,180.328616892813,175.240872789701,225.320658224374,114.54395771087,199.39132726393,187.947641561973,171.008230300461,180.289726244509,142.941669850576,216.154131617249,228.745959530805
"8",182.882722997554,206.435722570226,146.74732170216,116.55799747453,206.157402205688,191.723511982479,146.45370658977,162.462637554966,153.105454139379,185.529121613136,181.541608961173,152.415304761493,195.277647895775,193.398703340802,136.796908307128,152.373273522461,154.695067880254,280.945884264688,141.04835696775,201.414230890855,168.512158160656,177.823321394005,163.889093423282,180.338372409173,175.250254936468,225.329232275667,114.552994622645,199.400574607007,187.957069347382,171.016973998585,180.298594883118,142.950664110459,216.163410597501,228.754585567325
"9",182.911939403986,206.463415597416,146.78060944986,116.588407517562,206.187294714192,191.744512064979,146.483550626046,162.489347534541,153.137476376814,185.558279851383,181.57131513129,152.441883209632,195.309101416079,193.431505749071,136.828770196208,152.40667770413,154.727515718351,280.973960802944,141.076607809935,201.444492578098,168.5452054983,177.854330479826,163.921941631948,180.371779462982,175.28238341336,225.35859348858,114.583940867502,199.432241458499,187.989354110469,171.046916154691,180.328964888795,142.981464297021,216.195185788188,228.784124799852
"10",182.931624091367,206.48207390107,146.803037222031,116.608896423059,206.207434928436,191.758660966554,146.503658181904,162.507343505371,153.159051505659,185.577925347684,181.591329799194,152.459790560555,195.330293369158,193.453606521583,136.850237289616,152.42918392422,154.749377597587,280.992877498931,141.095641943992,201.464881528205,168.567471293098,177.875222993141,163.944073262687,180.394287618189,175.304030121525,225.378375739989,114.604791041429,199.453577144441,188.011106117172,171.067089819232,180.349426818941,143.002216063505,216.216594468157,228.804026992791
