"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37"
"1",176.365955231226,269.807167086255,148.345475190779,175.576681534887,261.912635708153,221.781059683698,120.912580453321,126.097160901631,220.581437143104,196.482885114801,194.060514354291,104.154582073197,181.768870695692,258.910780870424,189.070410768255,160.136845053993,202.677094524636,195.376980204255,268.677424214896,185.080400741051,229.693303372917,258.530140333314,253.743694358214,198.133752503618,240.600403226513,225.64016597424,244.738053325502,191.553044131741,148.532001449441,223.450484097201,249.157702357092,230.493686789665,199.44131926657,267.093244383172,176.643600432393,151.410917716529,257.94202484189
"2",176.005300144063,269.410018816834,147.932677135136,175.205835695034,261.517512465673,221.494902453636,120.493392078456,125.724414294714,220.157229899502,196.067411007539,193.652046202086,103.789057984793,181.403968341065,258.512772588239,188.629052951994,159.718943162707,202.255854048081,194.953401598377,268.272898819181,184.70318813657,229.297274358329,258.107156562769,253.334339626397,197.819001204318,240.163058778864,225.210093003551,244.314415646956,191.133280686927,148.120499611137,223.049421957735,248.798111679641,230.170497039164,199.023355644929,266.687402280556,176.218869464392,151.023923855907,257.527805062235
"3",175.760719443562,269.140690016563,147.652735325889,174.954344066281,261.249556951196,221.300842981656,120.209116630763,125.471633647848,219.869550871837,195.785654415685,193.375040746308,103.541175337982,181.156507327245,258.242860564462,188.329743146824,159.435540152604,201.970186953669,194.66614888566,267.998567170534,184.447378843078,229.028704588335,257.82030724168,253.056732930625,197.60555046979,239.866470666917,224.918436093164,244.027122873708,190.848615251637,147.841436840496,222.777438939871,248.554252815828,229.951323711557,198.739910771965,266.412177698169,175.930835269465,150.761481337031,257.24689910118
"4",175.736830914489,269.114384306986,147.625393029317,174.929780537462,261.223385372306,221.281888929562,120.18135106184,125.44694421888,219.841452870637,195.758134866831,193.347985247365,103.51696430333,181.132337474059,258.216497890653,188.300509151795,159.407859795844,201.942285460721,194.63809252322,267.971772825964,184.422393602083,229.002473014276,257.792290279048,253.029618707756,197.584702446756,239.83750250336,224.889949566758,243.999062598501,190.820811592096,147.814180400817,222.750873989258,248.530434789524,229.929916755089,198.712226326403,266.385296139548,175.902702578596,150.735848219907,257.219462634591
"5",175.708037957086,269.082677910456,147.592437229564,174.900173999665,261.191840644131,221.259043520669,120.147885089915,125.417185933036,219.807586216513,195.724965424064,193.315375126156,103.487782628422,181.103205435369,258.184722834864,188.26527327892,159.374496530545,201.908655658925,194.60427605649,267.939477475359,184.392278772598,228.970855973637,257.758521301093,252.99693780632,197.559574225706,239.802587038419,224.85561462136,243.965241415696,190.787299709369,147.781328084786,222.718855128277,248.501726809443,229.904114848917,198.678858132851,266.352895669434,175.868794112849,150.704952502251,257.186393331271
"6",175.687439678688,269.059995378282,147.568860883147,174.878993691598,261.169273768355,221.242700076475,120.123943769929,125.395897065488,219.783358251311,195.701236238942,193.292046075728,103.466906264268,181.082364580614,258.161991184341,188.240065784292,159.350628686153,201.884597136206,194.580083994995,267.916373609599,184.370734836248,228.948237366036,257.734363212733,252.973558120217,197.541597673815,239.777608761364,224.831051643887,243.941045980353,190.763325545119,147.757825769893,222.695949061242,248.481189323221,229.885656347448,198.654986762822,266.329716601919,175.844536235907,150.682849924018,257.162735785204
"7",175.757475259127,269.137117566653,147.649022102163,174.951008213428,261.246002716918,221.298268924434,120.205345924486,125.468280697111,219.865735019557,195.781917120192,193.371366471166,103.53788735564,181.153224937557,258.239280378517,188.325773020772,159.431781018574,201.966397788214,194.662338688136,267.994928361492,184.443985719555,229.025142206407,257.816502394851,253.053050680474,197.602719201627,239.862536642138,224.914567477173,244.02331214481,190.844839372459,147.837735276574,222.773831283701,248.55101820603,229.948416537375,198.736151082655,266.408527045013,175.92701470615,150.758000228616,257.243173088683
"8",175.828072799563,269.214858577405,147.729826528503,175.023600574124,261.323347332538,221.354283652464,120.287401243537,125.541245129308,219.948772772521,195.863245378495,193.451323327226,103.609437993714,181.224653872438,258.317189735116,188.412167965385,159.513584510936,202.048854802228,194.745253386473,268.074113430544,184.517824362195,229.102664125177,257.899300655315,253.13318108279,197.664331163776,239.948145977555,224.998753434945,244.106238406509,190.927007260348,147.91828597086,222.852338426996,248.621407390308,230.011680310135,198.817966658616,266.487969856911,176.010154977159,150.833753533355,257.324255814767
"9",175.862048157469,269.252271759905,147.768713992406,175.05853594752,261.360569748242,221.381240971673,120.326890704723,125.57635956365,219.988735034085,195.902384938694,193.489802894432,103.643872033795,181.259029342356,258.35468393475,188.453745889295,159.552952779488,202.088537580775,194.78515642749,268.112221572065,184.553359513924,229.139971868754,257.939147660124,253.171744169848,197.693982175022,239.989345823796,225.039268274816,244.146147012441,190.966550895752,147.957051325164,222.890120313946,248.655282475954,230.042126262059,198.857340742449,266.52620203824,176.050166575956,150.870210124126,257.363277211571
"10",175.933083113265,269.330494446253,147.85001907496,175.131578083286,261.438393583432,221.437602761404,120.409454430396,125.649776076235,220.072287280734,195.984217098823,193.570255155245,103.715865992529,181.330900843836,258.433076009998,188.54067612842,159.635263118179,202.171505490273,194.868584857078,268.191897263954,184.627655653473,229.217974105647,258.022458930401,253.252371052192,197.755975878781,240.075485586168,225.123975840436,244.229587077036,191.049227887728,148.038101103566,222.969113879717,248.72610778464,230.105782010884,198.939663239607,266.606137069925,176.133821975841,150.94643278883,257.444862318187
"11",175.947531886501,269.346405230518,147.866556830036,175.146435124365,261.454223239894,221.44906695829,120.426248198145,125.664709266947,220.089282117314,196.00086206343,193.586619443218,103.730509830516,181.345519773564,258.449021248593,188.558358061186,159.652005346077,202.18838147051,194.885554508809,268.20810359493,184.642767763569,229.233840049676,258.039404751494,253.268770858832,197.768585627849,240.093006733034,225.141205673175,244.24655909537,191.066044694263,148.054586928831,222.985181463714,248.740513914877,230.118729826077,198.956407940583,266.622396151577,176.150837794171,150.961936761282,257.461457031195
"12",175.912974523116,269.308351151835,147.827003215179,175.110901300211,261.416363195884,221.421647854175,120.386082273658,125.628993314492,220.048635293272,195.961052033812,193.547480712421,103.695485927628,181.310555444159,258.410884764935,188.51606789814,159.611962690281,202.148018917093,194.844967919775,268.169342652424,184.606623886745,229.195893216107,257.99887515858,253.229547177469,197.73842668815,240.051101124213,225.099996805037,244.205966846093,191.025823667541,148.015157515339,222.946752364591,248.706058541438,230.087762328188,198.916359369887,266.583509044431,176.110140787738,150.924855660958,257.421767189137
"13",175.868099156327,269.258935034069,147.775639835551,175.064757924786,261.36719904691,221.386042060397,120.333923763365,125.582613431606,219.995852298302,195.909355680097,193.496656091324,103.650004723781,181.265151601017,258.361361638036,188.461150902387,159.559964253766,202.095605069168,194.792263144549,268.119008618177,184.559688311492,229.146616364285,257.946244397155,253.178612241595,197.699263009316,239.996683501393,225.046483953027,244.15325472061,190.973593602802,147.963955420634,222.896849254238,248.661315616358,230.047548674998,198.864353252427,266.533011175798,176.057292627115,150.876703029652,257.370226908117
"14",175.8494074441,269.238351985535,147.754245703766,175.045538055261,261.346720949678,221.371211357084,120.312198439779,125.56329505081,219.973866861235,195.887822856281,193.475486365937,103.631060665274,181.246239765176,258.340734017523,188.43827660064,159.538305604911,202.073773391074,194.770310287961,268.09804323448,184.540138470933,229.126091323499,257.924322369166,253.157396567346,197.682950357924,239.974017200957,225.024194512256,244.131298802456,190.951838475001,147.942628468053,222.876063361116,248.642679069416,230.030798683037,198.842691404265,266.511977550982,176.035280046925,150.856646254818,257.34875909248
