"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37"
"1",149.463843887406,189.250338585546,164.345278345378,106.021054919681,145.678152704915,136.658516157118,154.855066932093,164.139169624983,161.374073854246,164.870562346672,120.578912457992,110.709983769661,127.231892585451,176.66744525752,174.059786123214,120.061734893911,177.759651822929,153.06715072152,176.489537524878,126.06831980516,159.401048454155,215.564970693187,133.638385242531,158.971592292266,169.542782165219,197.97107675208,128.096107453069,180.895606094216,120.794082210538,174.308111915228,174.616446912346,165.674987107871,157.861520334101,161.430917882807,156.534159438709,199.191204509069,184.425153659263
"2",149.937034588321,189.772139128985,164.888928442837,106.527308093426,146.203124546846,137.023371547794,155.413531854794,164.633649899366,161.933979544678,165.4210544644,121.117290146844,111.203282874427,127.707914255659,177.193443471533,174.640420603328,120.610525867835,178.31146493803,153.622592460716,177.027008360152,126.564033007035,159.921819112788,216.123575240299,134.177527821091,159.37550910779,170.119069956243,198.535330669695,128.65306277705,181.453288794867,121.339467672938,174.833142935263,175.085861117441,166.102994898665,158.410622593643,161.966386080354,157.093940962307,199.697240656964,184.968984652642
"3",150.108145467201,189.960827853035,165.085518202102,106.710374720323,146.392960046754,137.155307205959,155.61547881521,164.812459318434,162.1364475023,165.620118372247,121.311973346094,111.381665169777,127.880048843676,177.383650118696,174.850384315651,120.808974623672,178.511006532825,153.823446205257,177.221363631332,126.743288266027,160.110135419346,216.325572690415,134.372487612736,159.52156979995,170.327461858746,198.739370993328,128.854463850231,181.654952895324,121.536684958949,175.022999834615,175.255606374559,166.257767148223,158.609183913727,162.160017176057,157.296364019858,199.880228804965,185.16563982583
"4",150.068500020834,189.917109716945,165.039969439754,106.667959193117,146.348976209026,137.124738442045,155.568688818919,164.771030162789,162.089536793831,165.573996363326,121.26686632318,111.34033497634,127.840166209551,177.339580288197,174.801736882183,120.762995142077,178.464773846474,153.776909501051,177.176332587542,126.701755811732,160.066503570333,216.278770995938,134.327316504891,159.487728343607,170.279178604939,198.692095976331,128.807800333,181.608228436124,121.490990802116,174.979011038754,175.216277335218,166.221907272105,158.563178351617,162.115153919729,157.249463714488,199.837831460887,185.120075907437
"5",150.015796019172,189.858991548825,164.979417667319,106.611572691737,146.290504821537,137.084100832136,155.506486970579,164.715954927472,162.027174472716,165.512682526364,121.206901791855,111.285391299749,127.787146894402,177.280994583339,174.737065787536,120.701870778589,178.403312876766,153.715044375027,177.116469061609,126.646543252896,160.00850011083,216.216553596226,134.267266780115,159.442740070432,170.21499164472,198.629249349476,128.745766623834,181.546113711712,121.430245744657,174.920533060004,175.163993959831,166.174235745016,158.502019317123,162.055513447677,157.187115223081,199.781469131855,185.059503986807
"6",150.11790934905,189.971594757045,165.096735952807,106.720820817773,146.403792387772,137.162835682153,155.627002257053,164.822662492263,162.148000673141,165.631477302137,121.323082305197,111.39184397119,127.889871140135,177.394503638016,174.862365207183,120.820298451928,178.522392720356,153.834907266316,177.232453878294,126.753516880252,160.120881072571,216.337099013286,134.383612354678,159.529904274943,170.339353060099,198.751013886085,128.865956142807,181.666460196689,121.547938517412,175.033833396722,175.265292331675,166.266598719705,158.620514165093,162.171066100317,157.307914628624,199.890670424274,185.176861309167
"7",150.119165660161,189.97298012624,165.098179332097,106.722164909036,146.405186176696,137.16380436535,155.628484969384,164.823975326732,162.149487210679,165.632938846843,121.324511686355,111.393153669679,127.891134967407,177.395900151936,174.86390677921,120.821755480133,178.523857772282,153.83638195216,177.233880851775,126.754832988117,160.122263707444,216.338582096317,134.385043766602,159.530976665381,170.340883091761,198.752511968073,128.867434847185,181.667940832238,121.549386504058,175.035227342762,175.266538616271,166.267735071163,158.621972019755,162.172487756839,157.309400836502,199.892013939338,185.178305168731
"8",150.07494235496,189.924213857921,165.047371055146,106.674851661823,146.356123526177,137.129705826928,155.576292133234,164.777762347383,162.097159723719,165.58149113055,121.274196156482,111.347051079702,127.846647086384,177.346741579063,174.809642027653,120.770466748794,178.472286598639,153.784471655727,177.183650074334,126.708504782224,160.07359368977,216.286376211193,134.334656751912,159.493227536807,170.287024571683,198.699778105887,128.81538309463,181.615821100746,121.498416043926,174.986159161595,175.222668253608,166.227734455927,158.570654196384,162.122444141274,157.257084953886,199.844720974857,185.127479985667
"9",150.262862460619,190.131438583739,165.263272981281,106.875901998858,146.564607682382,137.274602299817,155.798077529858,164.974137266055,162.319517298164,165.800110255415,121.48800423001,111.542956915785,128.035691466142,177.555633342496,175.040231708815,120.988410291652,178.691430336446,154.005056443458,177.397098005492,126.905369338296,160.280409413337,216.508217057415,134.548768589132,159.653636628753,170.515888034913,198.923862509093,129.036568978308,181.837295850415,121.715007142444,175.194666819436,175.409088584458,166.397710892728,158.788721361338,162.335096756944,157.479393217462,200.045685123553,185.343453751718
"10",150.191878317951,190.053162395833,165.181719104577,106.79995809835,146.48585576259,137.219869721482,155.714301255997,164.899959438224,162.235524892283,165.717529995602,121.407241276298,111.46895627722,127.96428264495,177.476727454881,174.953129741902,120.906085223318,178.608651911568,153.921733682502,177.31647109043,126.831006556914,160.202287720205,216.424419838259,134.467890893013,159.593044379573,170.429438122231,198.839217818249,128.953019161921,181.753636919016,121.633192940691,175.115906022236,175.338670960357,166.333504715333,158.706349596518,162.254770260976,157.395419438059,199.969773779463,185.261872738509
"11",150.074653678858,189.923895526756,165.047039394379,106.674542815532,146.355803260321,137.129483242182,155.57595143449,164.777460683301,162.096818146017,165.58115529572,121.273867712215,111.346750136208,127.846356683212,177.346420687055,174.809287804085,120.770131951768,178.471949957917,153.784132801316,177.183322183305,126.708202365979,160.0732759869,216.28603542727,134.334327841014,159.492981122134,170.286672999868,198.699433875493,128.815043316837,181.615480879207,121.498083324477,174.985838859637,175.222381881406,166.227473344243,158.570319209455,162.12211747198,157.256743451933,199.844412260966,185.127148214542
"12",150.062274279754,189.910244419143,165.032816668708,106.661298451107,146.342069186644,137.119938062009,155.561341130124,164.764524316095,162.082170148944,165.566753572238,121.259782920891,111.333844670222,127.833903221582,177.332659761901,174.794097509879,120.755774732834,178.457513675105,153.769601588097,177.16926111667,126.695233743487,160.059651822663,216.271421470114,134.320223038995,159.482414034796,170.271596421757,198.684672122085,128.800472505903,181.600891038977,121.48381519898,174.972103237769,175.210101281262,166.216275999808,158.555953846808,162.108108797439,157.242098703256,199.831173574272,185.112920756354
"13",150.089215273489,189.939953002057,165.063769250493,106.690121848431,146.371958326641,137.140711012059,155.593137190264,164.79267742635,162.114048238832,165.598095702729,121.290435319416,111.361930530882,127.861005395843,177.362607338134,174.827155788203,120.787020009129,178.488931016249,153.801225524043,177.199861883714,126.723457050159,160.089301769343,216.303225479735,134.350918986323,159.505410937262,170.30440722243,198.716797777196,128.832182617419,181.632642563501,121.514866583332,175.001995747056,175.236827261156,166.240644515901,158.587216846072,162.138595544807,157.273969723737,199.859984615284,185.143883637403
"14",150.106872302419,189.959423898829,165.084055459583,106.7090125978,146.391547559866,137.154325527679,155.613976211989,164.811128872021,162.134941022555,165.618637220619,121.310524789494,111.380337901413,127.878768061901,177.382234870256,174.848822063118,120.807498049134,178.509521826927,153.8219517362,177.219917514709,126.741954502305,160.108734236143,216.324069711521,134.371036998128,159.520483023174,170.325911301395,198.737852814263,128.85296530873,181.653452396746,121.535217547265,175.021587188503,175.2543433708,166.256615552377,158.607706501646,162.158576447722,157.294857874196,199.878867266371,185.164176596593
