"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37"
"1",229.582087236638,281.377148831583,291.098660172441,178.567777543987,288.781500579391,249.577180298003,196.599373203926,126.42068331008,243.477004797783,254.889495697261,225.58473327241,137.747861661291,233.697263973837,310.925864108082,197.191388893399,179.645323602639,233.551556479767,239.315517131904,301.966708825605,236.479981720394,241.484868527207,295.951101284473,267.518193224135,243.298734162139,267.322674678682,273.363092697259,304.177559946964,222.516672706042,209.991901148011,244.617380291221,279.075563581248,179.12747544809,232.248231832065,281.570063462382,198.973659121817,316.953828379851,315.098110046008
"2",224.598655494049,264.125226818194,271.493586889563,168.962716945343,278.413939332716,232.624442059979,177.258605472192,123.799573321922,226.62024457359,236.54510335654,214.05653577473,127.597566256421,221.800444942788,297.915968019701,196.03629721642,167.024908104181,221.520032010368,220.803188040256,286.459304893689,213.084306940988,228.788579632758,278.603890393215,239.518721306471,223.828637947414,248.691853245214,257.617128564914,281.88551119371,211.137782689757,188.448413466201,240.435164535342,266.901411518662,173.028806778508,214.362041483168,263.103719000528,188.236566056274,283.35101118952,298.045701377171
"3",222.388534588135,254.920101196037,258.431066160076,163.049706191675,272.961201576373,225.278436661137,167.488251424663,122.878859332845,215.869415444212,230.738378497959,205.122420541759,122.773481143017,215.740905246054,286.127089787251,196.36467432875,159.906266659318,214.991703126888,214.482716692293,278.929667476742,201.665502597305,220.393833274306,272.08203518584,235.082130870505,218.07966363141,237.677569048047,250.253171074554,276.689026851406,205.400969735076,180.893970669561,232.517497653031,261.491087280338,169.954481508032,206.696382075329,252.025883261829,181.950558492564,269.710191031356,291.557473376099
"4",220.946903256492,249.788658834103,252.425149963558,159.929003632988,269.753153585657,220.702264340327,162.807408992564,121.678196707124,210.475818057005,229.894131912812,200.863384697285,120.97362669782,212.760334891114,281.500400444137,195.363970933121,156.189984309396,211.02041453657,209.612563313885,273.885376891903,196.516975361147,216.307084234534,268.205731716119,224.974547886547,214.914023752063,232.543149867537,244.943805874984,272.45839745272,201.849740107061,175.662832447425,231.612380980012,256.933309164255,167.822979533565,200.791423949548,246.219238975505,178.719703436717,259.539819732181,286.326470327162
"5",219.646648746969,246.943230572824,248.865367799767,157.433698304213,267.157394260175,217.502447239809,161.512324467259,121.419755817553,207.716519697934,228.37601258037,197.546812378956,120.123763824777,209.926766228062,277.155007018516,194.035388340964,154.657883642037,208.84577691786,207.381858447516,271.01667413338,194.661624714354,213.787090759103,265.510880604765,224.386733481142,212.59612673811,230.464967965938,242.189439092186,268.665700090926,199.915402150923,173.016559564067,228.453384140521,254.934996780062,166.369453444299,200.140794863211,243.682738860828,177.016273925572,255.488394422959,282.471576986609
"6",218.450985500309,244.92207913684,247.236424650457,155.493012831244,264.79401586377,215.156793894283,160.14227622586,120.795219413878,205.852369418286,226.171157031814,195.448173750417,119.653958483188,207.181724871957,276.064798373636,192.86075655373,153.070257818854,206.802822287489,205.3288491129,268.621751752859,192.495287341233,212.158252116845,263.490434790875,219.725680721987,210.871097189093,228.872675897592,239.70030554502,265.893473754899,198.303723077037,170.778749323345,227.819909074682,252.273414610233,165.253008914816,197.165703697753,241.491696693894,175.465597920787,251.71071570071,279.464608912549
"7",217.329457925623,243.265061153866,245.390016543806,153.629859751898,262.576024171105,213.286418198248,159.70393055695,120.700340775475,204.216809902494,224.17004562999,193.367065061128,119.138829793565,204.766268189807,273.343038220151,191.759476764521,152.025568899136,205.351024055946,203.782941341605,266.755997011014,191.058232114899,210.489715931224,261.796527133412,218.911109487616,209.41637637975,227.573809226436,237.898954957502,263.567785191669,196.959710459852,168.947403497149,225.852314146804,250.92467867025,164.33201342996,197.146391657015,240.034246576733,174.122599923966,249.607267736124,276.908240015459
"8",216.252564719754,241.736896525803,244.211270841348,151.908365631651,260.452330396211,211.683129857287,158.429953429441,120.301299694854,202.577788310801,222.478669286264,191.593504783572,118.715814105435,202.618842162194,272.566250821203,190.659072411799,150.454972959057,203.633281278878,202.256699101245,264.97506447993,188.800984906964,209.044540835343,260.265423626352,215.893270026176,208.079994106065,225.906009962515,236.083015369098,261.448275161285,195.641775144151,167.199053926873,224.895552860751,248.799409851808,163.519223567859,194.385367437393,238.111298608542,172.588004051039,247.366447507981,274.625162762578
"9",215.204665268804,240.270515434751,242.525650754387,150.216576299853,258.39027878884,210.234588501711,157.916953520635,120.226072613094,200.943781231806,220.907672363266,189.775336234508,118.206938552787,200.641050943629,270.093555360451,189.562445411172,149.367702395374,202.286769793475,200.840989077726,263.336620257776,187.274860300534,207.454232945295,258.820648673587,214.598460463873,206.805761562301,224.437083340789,234.475672206587,259.471258081561,194.378496237207,165.536259031259,223.304679861998,247.533242186995,162.769281419269,194.228707913101,236.659966589958,171.220519447375,245.621923731621,272.508047722899
"10",214.177961476501,238.835587466678,241.325866681302,148.586840539997,256.373108546151,208.878499631681,156.61888797838,119.928615160732,199.297348932158,219.368901524061,188.064421515274,117.784952411828,198.787450434769,269.216019477488,188.479463205363,147.805154599894,200.664437263875,199.438523350144,261.721109787634,185.044900300835,206.019240455688,257.424678048911,212.229722688953,205.568053588774,222.702372094191,232.849703657591,257.583743652741,193.125143231486,163.91177118107,222.165038337737,245.628429520926,162.056910753812,191.570742623723,234.773032733279,169.707667980437,243.790098149171,270.495371019509
