"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"1",285.200737588782,514.721943487896,352.477112086769,309.846850198021,410.142566919028,403.504734578487,361.75983344113,360.586716196486,326.095771547221,378.234199628577,341.074144123405,228.412222352527,430.948668239314,329.925244868173,267.467862163279,294.768548436098,278.488825736219,479.031018817065,271.123277626116,362.97006582344,353.54916458685,351.155755710247,393.337514424189,354.268196666578,349.744326853222,327.172033945616,219.506292553384,357.093713141813,438.420469319145,317.709913190169,380.542926521279,254.483600000129,380.547183377376,459.658421932146
"2",266.022333550214,457.684725797608,327.653782205059,269.637673996815,374.378058202446,380.349212765581,325.785979733307,320.207706917847,289.729479428331,352.754715101196,302.655449984942,213.06175674381,402.055325117621,293.235307299506,239.968377825473,265.449559692973,253.422732864317,436.594597589497,247.237468592922,329.089959111529,331.311910401827,317.38821129948,343.017738523309,320.37698031466,315.789208117075,302.549322035187,203.758768549801,324.570983337612,400.794045090908,286.952942262311,345.97587684974,229.446278499267,346.455933801933,416.788623632307
"3",256.07080670252,426.164776384707,313.960440437915,251.038290807107,355.905950022121,368.162846978947,309.577471086795,299.017296953961,272.346458678142,340.884026751612,283.666695354846,203.637426045145,386.360488873491,274.494524869381,226.147356338768,251.735591281864,241.279280693821,413.232111050958,235.45648490562,313.732551827882,320.807860717641,300.024029652767,318.747539332873,302.900891344279,299.433483635775,290.069190350182,195.973334607481,307.060318791035,381.256626496941,272.129518612492,327.48439227915,217.591834757973,330.95051431647,393.368965224673
"4",250.640266971279,408.372281293568,306.071812450787,241.825009118357,345.862451324498,360.910566538593,301.660932623293,287.62241554862,263.658161694064,334.913648562887,273.826357697247,197.780062670049,377.419749526226,264.68183564016,218.823134592752,245.060521399138,235.084524537064,399.89726233596,229.176891971722,306.29251568162,315.396868491209,290.697691876867,306.648770455967,293.526097301061,291.176235265325,283.451872096406,191.876505079745,297.34127817717,370.615572740808,264.84615410174,317.221092571296,211.664080718033,323.427490087425,380.198810285946
"5",247.430936609285,397.970405906235,301.216712793366,236.703594641836,339.937882303941,355.898375781933,297.235612890054,281.233034002654,258.958967479693,331.509267596685,268.301966518142,194.071212905859,371.9419843679,259.313850961604,214.595127749906,241.564941676733,231.63419377277,391.842748159032,225.409863103329,302.246727041354,312.203135882024,285.31734374443,300.24344248132,288.155310716987,286.652201642499,279.670099332085,189.494449973112,291.670580909389,364.358317766371,261.132757753122,311.175935955048,208.406596170962,319.340701471135,372.435962581719
"6",245.318781757897,391.55311983712,297.952956227395,233.380694550416,336.036611697325,351.923263360123,294.292511955705,277.406371899702,256.096574489961,329.228492424601,264.822036310976,191.657996702198,368.246335426942,256.162308089421,211.852852784283,239.509946963225,229.455931798574,386.577138493693,222.802305030354,299.665893701557,309.981088614915,281.881393365976,296.507680766613,284.76918579685,283.855621798814,277.264451029739,187.915365521872,288.107543636386,360.26955581158,259.111465550871,307.299663960827,206.357868764859,316.740883176855,367.531928194867
"7",243.75429710707,387.289608684042,295.529894214946,230.862530660874,333.139404968642,348.447592120933,291.990672427624,274.896592425703,254.08642915601,327.447229509633,262.318714562485,190.027567476786,365.474247640472,254.119694177495,209.833334014197,238.111978086655,227.873083167694,382.792762920472,220.741356941662,297.726898971769,308.191153156118,279.410604774726,294.029863085288,282.372401705228,281.864773677723,275.531278228446,186.717915607264,285.645969515963,357.261615922235,257.894018286562,304.54493088171,204.861858225956,314.792120770781,364.14531410552
"8",242.468724013022,384.195688791228,293.556716669846,228.718132262792,330.750340047503,345.230667212625,289.977839530587,273.068223517593,252.478043590123,325.895319408393,260.289844841867,188.87151379003,363.18708725432,252.635486257642,208.174847347694,237.017887171691,226.574567085553,379.803126153202,218.949148858116,296.078374039311,306.599504803358,277.425782737833,292.15090833989,280.474285983076,280.255983341644,274.131248935913,185.707276093931,283.764110786066,354.800340930979,257.060231374969,302.376346010944,203.623984842502,313.135822007507,361.569986741988
"9",241.330494899206,381.7422160177,291.829855808079,226.76027186704,328.627918121034,342.164321650654,288.106233527268,271.597041649942,251.065184988237,324.45569005742,258.499145112609,188.0043354773,361.160661095435,251.435974848881,206.705647696696,236.06844042168,225.417263329094,377.247695554132,217.299417205336,294.570139071279,305.104731124812,275.692307301155,290.562996008986,278.832862579676,278.834400652879,272.900649871328,184.793235460454,282.191364772763,352.623275038226,256.411315847393,300.520118010756,202.511878274341,311.618036915032,359.434131209883
"10",240.275085206132,379.644617973414,290.243177290013,224.90729111664,326.654339516912,339.199545431626,286.313632260313,270.317542427071,249.753332549993,323.077486480764,256.835295562685,187.31443019084,359.28028548583,250.385022410457,205.343945202727,235.191769729941,224.335221885007,374.936990291817,215.734517494507,293.137820211274,303.662765310175,274.095185060143,289.122263611347,277.328717131781,277.510308333763,271.760425741027,183.933899460303,280.787326709957,350.601333640663,255.853201433692,298.836129687082,201.465963092264,310.172553699656,357.541876341766
