"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"1",198.37623512928,332.148835958029,241.70677733901,177.896031600877,229.676566566465,363.95487141997,246.451945782319,269.95488222353,229.927198131667,243.724637056842,155.726144919063,144.543151231951,292.946133098367,247.158446072591,197.610912878657,231.185621929088,222.997723327166,296.610399563881,173.667132744184,211.332976960667,260.860216137611,193.622163068742,249.396442994834,271.471762531215,239.53546793523,306.820273339489,188.62361451121,221.383567738488,228.958501131778,261.035481325127,245.614740245472,209.326937364068,302.269337892117,264.920727356894
"2",219.810322718236,337.437863096039,262.308597560131,196.246044520754,261.954035388308,365.981978724641,253.663112810034,281.281979720412,244.074151584125,271.940158959153,179.5307379052,157.377842175611,320.099209614516,260.75958291419,206.288911052841,247.210737438962,233.558185897818,314.788838282838,180.171689451596,242.868489263915,289.599348814316,209.81255259344,267.949307405645,285.040874513115,262.263881538982,313.625427498556,201.925232271641,237.197850817337,258.254999690656,281.236574821306,264.185503637613,217.513267818309,315.937345893937,291.590196854534
"3",230.102171497413,339.848731825312,272.545305855878,204.335936514386,277.353246845657,365.61534345648,256.039557617474,286.695389187788,250.11457488816,284.146559782098,190.582239201065,164.903219974678,333.58423015511,267.20292648865,209.889641611206,254.036871000689,237.883001332924,323.629762135087,182.875853382452,256.280749468042,301.33533709218,217.729146138271,276.006936865384,291.151733993716,272.160787911002,316.245776396485,207.809751901286,245.273810365501,272.222753758809,290.754045020316,273.52091094303,220.896427448529,321.041350537673,305.273642720858
"4",234.83329910768,340.690238380408,277.381316771245,207.529910436559,284.447431587575,364.094629522314,256.418558121502,288.955395830949,252.345069415525,289.215494453199,195.602025804614,169.295525588008,339.943121292181,269.943962826788,211.021302085368,256.667826171391,239.288514449517,327.661478749468,183.80746231901,261.77269006753,305.727764878734,221.516876585575,279.175690243153,293.507793881425,276.136183615761,316.78945673321,210.074090316262,249.216227501965,278.679970871416,295.0080370396,277.9447903568,221.956232265274,322.410971558948,312.03204154307
"5",236.7935108498,340.678934104388,279.407295669161,208.395275374526,287.459990863937,362.029089030252,255.97931569889,289.5389824088,252.790254387728,291.105671418287,197.770997906302,171.839422489507,342.591228584958,270.77426810551,210.960374263198,257.389597012542,239.332968794746,329.22027005367,183.916338590899,263.807444435296,306.953430300325,223.245601554303,280.071873290346,293.978656574817,277.384288639491,316.3077576249,210.578064213563,250.952940126588,281.460435347319,296.671676226801,279.760769940054,221.897131702571,322.159503258119,315.101409388933
"6",237.377143565893,340.207083524686,279.975107387028,208.160579462808,288.471386420531,359.717955689152,255.211780148762,289.236369142955,252.404072148587,291.583489279273,198.594485684281,173.293254366622,343.311537441829,270.622662785237,210.33137584701,257.246481246513,238.748435787215,329.511426207128,183.647279597193,264.33726473006,306.818316325512,223.948922497433,279.916358471091,293.50807402911,277.381574585272,315.324868176321,210.232514538768,251.514926166206,282.44405515449,297.063268133284,280.196097751348,221.304046545449,321.211548062535,316.209427624606
"7",237.280995543764,339.489386746233,279.790118758272,207.413563281083,288.506364761232,357.308008337369,254.319386638911,288.470255104218,251.635907498452,291.437070570652,198.784837802922,174.104665810226,343.034793475408,269.970619864,209.439649752589,256.715478839214,237.878751274973,329.156694869006,183.208492507322,264.21601716526,306.103240903071,224.142953153538,279.278782076615,292.572368002038,276.810424999448,314.102088661686,209.483386715253,251.453506795443,282.552599678761,296.832926741852,279.904518436216,220.460953503401,319.971526323988,316.278431511813
"8",236.85319543794,338.643318357557,279.220307093988,206.435243844084,288.069578119581,354.871057707127,253.386471907328,287.466661847862,250.697373397805,291.018001861522,198.679116516358,174.537888557385,342.24679687523,269.067659142012,208.43428923546,256.01440755672,236.885312729226,328.476742177647,182.697350549195,263.817080274326,305.145730791129,224.085383612236,278.424855419755,291.411871785832,275.98613052055,312.76960562841,208.548880531168,251.063474576136,282.237988713882,296.301217136001,279.234210770355,219.505643133621,318.616223773371,315.800758269647
"9",236.267588689331,337.733117571925,278.457576468384,205.359827939438,287.409458061891,352.442052895757,252.447868480705,286.346361218561,249.6880346341,290.483075234205,198.436776643631,174.748881713555,341.201047411566,268.043031770461,207.387901731189,255.242673110752,235.843788394981,327.636890814167,182.159307267974,263.303645439825,304.091630151521,223.904852457045,277.478452339886,290.147777726341,275.054282692178,311.392214606406,207.535629308788,250.502426583103,281.721739164057,295.62617288861,278.370547373551,218.504896135555,317.222813573233,315.039157377267
"10",235.610906683557,336.793875335858,277.601944792069,204.251256501961,286.648212746412,350.037821327484,251.517834649213,285.173803360058,248.654655503066,289.902160923551,198.133219389139,174.82968888233,340.029764610148,266.963630036189,206.335658996077,254.445583436559,234.789563265958,326.72231473842,181.615496610205,262.74696023506,303.003898842321,223.665552983388,276.4972541979,288.841129778916,274.082026303332,310.002099235204,206.495615744525,249.854585999139,281.112384683752,294.885668452605,277.412158448179,217.491001493326,315.824880181385,314.133796013091
"11",234.926339270764,335.844723386383,276.705478994724,203.139843391292,285.845870000996,347.666284620239,250.602080463637,283.983300738513,247.619120446238,289.306343461923,197.804067740296,174.834623270461,338.801850442495,265.864014269516,205.294414835325,253.643732227145,233.739095222885,325.776836507553,181.075662934741,262.178054105587,301.909657973112,223.399496423141,275.508052798857,287.522606938795,273.100244017326,308.615179804338,205.454054755528,249.16493509656,280.463055793671,294.118044929833,276.411459247975,216.479495752733,314.436935987745,313.159392650803
"12",234.235314961393,334.896056000595,275.795223709274,202.039812858447,285.03182807367,345.330990677708,249.702766811734,282.793040603789,246.59159170845,288.70940151832,197.466120287031,174.795725395038,337.553151141778,264.761982137535,204.272064422069,252.846423498318,232.699950761066,324.822945044152,180.544218384745,261.610365794512,300.820532901047,223.122623632381,274.523225971715,286.207559915922,272.123057687572,307.239267051172,204.423053118744,248.457470188482,279.79971594381,293.342146549767,275.396243474131,215.477780140212,313.065150030628,312.155722483872
"13",233.548387957476,333.953484302338,274.885167167497,200.957693933431,284.220399039184,343.03334238798,248.820583430697,281.612583776724,245.576709889211,288.117392854239,197.127267837412,174.731888141205,336.302256621079,263.666641486677,203.2721261473,252.057804906441,231.675520977117,323.872123939317,180.023080565385,261.049641689968,299.741449748266,222.842850978502,273.54842656941,284.903602643588,271.156843497008,305.878128837319,203.408301189258,247.74496471019,279.135007865894,292.567202581256,274.381188412214,214.489306436408,311.712042962603,311.143905218219
