"","alpha","sig"
"1",-0.272413817001472,179.496946388649
"2",-0.455694049803215,293.52525044945
"3",-0.280862306836887,197.512842801496
"4",-0.143139241861257,113.368277211422
"5",-0.292011534968901,207.935301789474
"6",-0.148765769858676,129.930764759726
"7",-0.314162337713505,207.924693521774
"8",-0.183708965626207,181.320316135742
"9",-0.221014560470541,156.475000798222
"10",-0.332086944974233,239.058154368527
"11",-0.219038544395961,145.80559626848
"12",-0.169449448418745,130.36249858106
"13",-0.332469334708357,245.960567339246
"14",-0.273181615282905,172.359186357571
"15",-0.223238786096878,127.751937958365
"16",-0.290252894840543,171.389426433801
"17",-0.211899380672493,137.501620909609
"18",-0.362968484713528,254.489062102715
"19",-0.164300308471663,116.846677953275
"20",-0.315184472209502,207.224761594088
"21",-0.300390971656749,200.605986549482
"22",-0.235395459677838,169.111026100089
"23",-0.25455696501559,188.936572324209
"24",-0.285983271457542,178.643286266728
"25",-0.260154404393045,174.498978236125
"26",-0.281096138492407,183.145058297969
"27",-0.165925432927009,125.470522040581
"28",-0.276351349848883,172.917438669226
"29",-0.307871009507242,219.180831640109
"30",-0.322581184327035,202.210410894156
"31",-0.285478546817177,194.538026559562
"32",-0.197807814755065,120.111377746122
"33",-0.329333571669309,217.088848463057
"34",-0.275692398335202,215.63900138656
