"","alpha","sig"
"1",-0.270479088492885,178.150585764917
"2",-0.461473201590209,296.523377265416
"3",-0.282559197137923,197.742832750508
"4",-0.144504728449201,113.187121088245
"5",-0.308449160499108,226.807351749814
"6",-0.149208804759063,129.658747258362
"7",-0.314637962150436,207.77597846519
"8",-0.183623101233637,180.7884565175
"9",-0.221326314257338,156.178768733002
"10",-0.331294133179674,238.364210533579
"11",-0.217642313698895,144.764908493284
"12",-0.17655458164373,132.321313607872
"13",-0.334112989140126,246.755112816189
"14",-0.272900216917151,171.802348298363
"15",-0.221142576499843,126.670453239949
"16",-0.288077108222053,170.098804070836
"17",-0.211578601332776,137.053337394603
"18",-0.363413571158352,254.631202634735
"19",-0.162100884347331,115.61731104267
"20",-0.315873760877666,207.184193241581
"21",-0.302805732339091,200.988590802931
"22",-0.232104004266893,167.311977765806
"23",-0.25431511904587,188.367537399214
"24",-0.278151669245632,174.904538189851
"25",-0.251172634635196,179.792162547409
"26",-0.282540498442134,183.628223147385
"27",-0.164606542382687,124.443843873985
"28",-0.275303629097582,172.135182008252
"29",-0.310413086553629,220.153459151646
"30",-0.322305502198927,201.801160979638
"31",-0.287186097312017,194.802356527675
"32",-0.198079119867754,119.628856500955
"33",-0.331366811184879,217.377751502579
"34",-0.279159262744695,216.472280345237
