"","alpha","sig"
"1",-0.253738132859837,179.778806244225
"2",-0.458888238917003,294.567604227359
"3",-0.275766192888995,193.772834454176
"4",-0.139619499035505,111.044000463702
"5",-0.307704711607299,218.7770699908
"6",-0.147873518006288,128.19209673176
"7",-0.305552892663077,202.719092034369
"8",-0.180327699991515,177.729090822897
"9",-0.21542008969985,152.675678268471
"10",-0.326519352215758,235.010048165523
"11",-0.209486776402175,141.239473833318
"12",-0.175251559142422,131.363507073745
"13",-0.331026237272198,244.307475631263
"14",-0.25986170581846,166.130449275575
"15",-0.212687006751185,123.483856392272
"16",-0.28052657969708,166.271341131655
"17",-0.20602734839934,133.93189970648
"18",-0.359621657974787,251.873087252207
"19",-0.156710923493522,112.743801846546
"20",-0.311977225132362,204.619844006783
"21",-0.291102361874776,195.311095610726
"22",-0.201997846100513,155.519551003344
"23",-0.251907241735385,186.340559598917
"24",-0.284779082588158,176.89663717669
"25",-0.258476644660863,173.183019145336
"26",-0.279168235536104,181.307773369133
"27",-0.155337058334739,120.734820758852
"28",-0.269539480023629,168.807557854033
"29",-0.290201507746523,198.961621255732
"30",-0.315055897302925,197.681817750973
"31",-0.283126912744917,192.079130260228
"32",-0.186673685912543,115.537934895752
"33",-0.32728059182128,214.621956730444
"34",-0.28237461594211,216.692217895498
