"","alpha","sig"
"1",-0.252147352835706,178.404876068932
"2",-0.447357464768832,287.76777708868
"3",-0.270581401644499,190.74013274676
"4",-0.135714896131618,109.086849899606
"5",-0.304506093999624,223.457297478575
"6",-0.147407239304374,128.048522088214
"7",-0.296606515108294,198.039682916974
"8",-0.177897455612203,175.43659273156
"9",-0.210452993405488,149.834661725928
"10",-0.322390110193507,232.085639373204
"11",-0.204485696703515,138.802729483457
"12",-0.163612641260723,127.294744088113
"13",-0.326429823155358,240.965768737953
"14",-0.253815661912754,163.357310411156
"15",-0.206226217389865,121.189764762752
"16",-0.275578008218059,163.768313619147
"17",-0.202920887626616,132.215049955369
"18",-0.35940324523447,251.576400056209
"19",-0.155658547212993,111.748402799589
"20",-0.30839523267834,202.329363218568
"21",-0.282589011940731,191.094441115952
"22",-0.211937892621704,158.224665328522
"23",-0.247713530816032,183.488187045024
"24",-0.272311979864385,171.004500423288
"25",-0.244640759351671,175.227813344198
"26",-0.2769576656245,179.816640106487
"27",-0.149689172260557,118.724028967731
"28",-0.264847300468192,166.132887125509
"29",-0.298624703865867,212.66191495844
"30",-0.30919890241063,194.380328711142
"31",-0.280587935551249,190.321714763729
"32",-0.181234375762596,113.390240176669
"33",-0.321911002309516,211.551745484541
"34",-0.279026444020787,214.204835950355
