"","alpha","sig"
"1",-0.253145267367069,179.087970683562
"2",-0.45619469564114,292.719485165626
"3",-0.27392205739326,192.436317246066
"4",-0.135872566235837,109.555141582861
"5",-0.305119165945306,217.145931789929
"6",-0.149988349147005,128.468794461182
"7",-0.300488350471499,199.978644099097
"8",-0.179387000603371,176.669032265073
"9",-0.213039383530905,151.192810399148
"10",-0.324914641480915,233.836490390177
"11",-0.207038844848737,139.87484294474
"12",-0.168311098323228,129.078198996749
"13",-0.329913623101886,243.371888166463
"14",-0.256561045695427,164.451747862567
"15",-0.209045774530762,122.017430067632
"16",-0.278900169597432,165.237005956874
"17",-0.204599362350729,132.954042181434
"18",-0.360467486451909,252.35031685433
"19",-0.156573011672142,112.295371270455
"20",-0.311078722096117,203.803443103639
"21",-0.287651832558018,193.385050146294
"22",-0.21505655395239,159.606662602968
"23",-0.250712284372597,185.307249165705
"24",-0.283347771213402,175.859550806602
"25",-0.246638430422765,176.329744895717
"26",-0.2775314605014,180.163276744205
"27",-0.151257805150067,119.038555774064
"28",-0.267912668856627,167.726714206877
"29",-0.301681270658298,214.458010709443
"30",-0.312407711034185,196.103362839045
"31",-0.283483870476478,191.694626142471
"32",-0.182783043764949,113.998775044494
"33",-0.32490499213547,213.075030976002
"34",-0.281137952600566,215.542653789489
