"","alpha","sig"
"1",-0.24380453400385,173.722397972208
"2",-0.439763824678226,285.178770192136
"3",-0.263235201778454,187.222538380523
"4",-0.119361687258411,107.758028609836
"5",-0.296545008367709,218.856665949518
"6",-0.145366517413688,128.813214177458
"7",-0.288645628858585,193.979106285369
"8",-0.171863633205079,171.357054332226
"9",-0.204721919944638,147.929846577816
"10",-0.312819769639618,226.002482745411
"11",-0.190382741670209,136.448294114414
"12",-0.1514540638135,123.365990031826
"13",-0.318451556837858,236.031281380371
"14",-0.244643969751129,160.173164846858
"15",-0.199746225110151,119.100328888765
"16",-0.263129355054603,158.638338519923
"17",-0.19834356507461,130.249960748252
"18",-0.353419880284887,247.529277335901
"19",-0.153277069605736,111.268924385655
"20",-0.295263407086352,196.620509493631
"21",-0.270545995384919,186.816209115437
"22",-0.200687005832112,153.584845432448
"23",-0.23721883761945,178.542878761757
"24",-0.27526935291322,173.009214148314
"25",-0.226254284540111,168.111630788448
"26",-0.269676471155943,175.873512233546
"27",-0.140710160870185,115.854511541313
"28",-0.260661375568427,165.373022112191
"29",-0.287353151075635,208.592145165101
"30",-0.298188231375587,188.983371283966
"31",-0.264619277103752,183.38537468422
"32",-0.180156843898954,113.5730864747
"33",-0.310656033399136,206.847173111941
"34",-0.262606671758064,207.88809486852
