"","alpha","sig"
"1",-0.257128058123911,181.777374740945
"2",-0.46313006557611,297.128106557804
"3",-0.281313457638313,196.665860433024
"4",-0.143735603824872,112.429686718072
"5",-0.307528378667992,225.915131861929
"6",-0.150236808435143,129.433043917164
"7",-0.310252245551904,205.257108841323
"8",-0.18286742605699,179.790297618852
"9",-0.219472627632306,154.877216331896
"10",-0.329938417636148,237.387703121305
"11",-0.214729698457611,143.296018485836
"12",-0.178526749780245,132.73499999129
"13",-0.333162428041805,245.898579819516
"14",-0.266640334077831,168.940259320359
"15",-0.21825207849135,125.381354172282
"16",-0.28554118575099,168.655127551115
"17",-0.209709200042149,135.84459304791
"18",-0.362097899912364,253.647424529641
"19",-0.147988795241728,93.9757283350449
"20",-0.315884541589415,206.803504270721
"21",-0.298387217048412,198.621015740351
"22",-0.226601675495536,164.712644858679
"23",-0.247245457184793,184.355805571455
"24",-0.288183497741017,178.77671554995
"25",-0.250753546504917,179.179315997121
"26",-0.282364714383589,183.237144957174
"27",-0.161982936677357,123.005779176714
"28",-0.273695887039518,171.02688853799
"29",-0.308704597790789,218.861933979202
"30",-0.319972048137855,200.312680557853
"31",-0.288006389160772,194.599422529614
"32",-0.193644841663903,117.786828783618
"33",-0.332251220295554,217.219282496527
"34",-0.282743416017498,217.448660445013
