"","alpha","sig"
"1",-0.244253565263883,174.216232218991
"2",-0.439564366328577,283.165994813648
"3",-0.258083899451515,185.051009117804
"4",-0.12741379179662,106.68805982552
"5",-0.293275005188066,216.728038839409
"6",-0.141320736216469,125.607616631399
"7",-0.289418268921659,194.598345526616
"8",-0.170923286394795,170.578256006707
"9",-0.204561772393001,146.915361314163
"10",-0.311830302766381,225.121279568247
"11",-0.192595687608682,134.847125003703
"12",-0.151854224570902,123.663855648812
"13",-0.316312820999995,234.369974453984
"14",-0.245156260442885,160.03821260024
"15",-0.199000560885644,118.778440344055
"16",-0.263341788290603,158.501523449184
"17",-0.196803941240499,129.253566484046
"18",-0.347130011198406,243.479241617494
"19",-0.151584362998423,109.874070555209
"20",-0.293857937373092,195.318105655241
"21",-0.268479850732529,185.354440074622
"22",-0.198947242636581,153.189076289107
"23",-0.236579263217838,177.560174781267
"24",-0.272561193063103,170.894865940901
"25",-0.228119454484355,167.457156463615
"26",-0.266310962263011,173.918085085755
"27",-0.142169151669147,116.386866937675
"28",-0.258109264056139,162.685774757308
"29",-0.285279300415433,205.532578757641
"30",-0.298519828776351,189.149573109398
"31",-0.24105180984523,174.303205729907
"32",-0.177812521621294,112.35810149938
"33",-0.307964767368934,205.245766662229
"34",-0.259971770696909,204.858546870871
