"","alpha","sig"
"1",-0.248374117028749,176.384111614826
"2",-0.438652842896364,282.833571458183
"3",-0.262771773265736,187.187523609274
"4",-0.131631195356044,107.889967402878
"5",-0.29925637372756,220.23132508006
"6",-0.143833046653763,126.707860740766
"7",-0.294531430295535,197.060353382018
"8",-0.17395250903202,172.69165793719
"9",-0.207310308959317,148.301254098335
"10",-0.314657670839215,226.982321787909
"11",-0.197117692522128,136.430027060931
"12",-0.158880018365146,125.847831545797
"13",-0.321603242474692,237.80610081236
"14",-0.250368046297193,161.96907484301
"15",-0.20255793271324,119.958040681475
"16",-0.249930689614462,140.805349109007
"17",-0.199951016871682,130.759868444128
"18",-0.35144698500134,246.350496881941
"19",-0.14981181363573,109.326917800739
"20",-0.299039808407459,197.834785244398
"21",-0.274616687328732,187.853939246372
"22",-0.203957320142446,155.249065608933
"23",-0.241216621990299,180.030577967402
"24",-0.276895820204867,172.821771037074
"25",-0.23316045818711,169.831764214481
"26",-0.270345827736704,176.164388332416
"27",-0.147458948566251,117.989008620525
"28",-0.261772305452559,164.567137008918
"29",-0.284245209726022,205.274891061171
"30",-0.304250864734722,191.93331693124
"31",-0.269315515614654,185.373729293796
"32",-0.179493867796475,112.845573269463
"33",-0.314747606367702,208.277575210735
"34",-0.26552042126437,207.668487772735
