"","alpha","sig"
"1",-0.24958315631477,177.020631322534
"2",-0.445062181493218,286.451312624674
"3",-0.266844008254871,188.969946551397
"4",-0.132398752106782,108.093767907619
"5",-0.302376851162883,222.108838362522
"6",-0.145499018850977,127.290060260015
"7",-0.295906159114867,197.707414454148
"8",-0.176206466596904,174.22421019705
"9",-0.20727567460861,148.299037829898
"10",-0.319204253198075,229.953016051445
"11",-0.200796641350119,137.60452706435
"12",-0.161094512225004,126.51630348779
"13",-0.32471402643678,239.665463165769
"14",-0.252000003619051,162.602329980512
"15",-0.20415002868331,120.469028839778
"16",-0.272111758902748,162.226713944356
"17",-0.201063306583832,131.285464760225
"18",-0.356364636164875,249.588863764588
"19",-0.150220771239621,109.489768737535
"20",-0.303605691653565,199.963556853513
"21",-0.276366768914761,188.550712203547
"22",-0.208025245190421,155.753998978129
"23",-0.244305704953562,181.613801595899
"24",-0.277613402450557,173.135990356801
"25",-0.239936151089958,172.922962505069
"26",-0.274775669636888,178.531023113336
"27",-0.149115037041797,118.463373392328
"28",-0.263184716526873,165.26678785474
"29",-0.301861045523348,206.397903896171
"30",-0.306202318550843,192.876455691407
"31",-0.287689295885949,178.640674958681
"32",-0.179493867796475,112.845573269463
"33",-0.317307231862529,209.398209274246
"34",-0.266023631353389,184.967105060768
