"","alpha","sig"
"1",-0.262391244074079,185.716979874691
"2",-0.44889827106294,289.893111447391
"3",-0.272353859443866,194.345137787478
"4",-0.136676719393156,110.739776883482
"5",-0.304632853370115,225.419769798376
"6",-0.136922494764021,123.632898027291
"7",-0.314291096975924,205.408352702915
"8",-0.207616662384036,181.14438988145
"9",-0.216526047316113,153.387898295596
"10",-0.330616648172534,238.187876646471
"11",-0.216104494240729,144.895351526552
"12",-0.16838523289308,128.538724596744
"13",-0.324895263406168,241.482673120415
"14",-0.262190444301061,168.106843597523
"15",-0.216593866569013,125.632159722597
"16",-0.283038579558955,168.489350519021
"17",-0.205934920462953,134.898664151854
"18",-0.358780766783445,251.978192049253
"19",-0.163569295788412,116.987724138839
"20",-0.311634843326098,206.074587880612
"21",-0.291191620272734,195.492265211232
"22",-0.230999350180386,168.186592556879
"23",-0.283738570476998,182.38762269934
"24",-0.276263610860891,173.325524671069
"25",-0.240775365069648,175.708583559446
"26",-0.272359528328168,178.125897169183
"27",-0.157396006740034,123.239515797866
"28",-0.271304321506782,170.238988707822
"29",-0.306097677223453,218.70960091121
"30",-0.333171225374785,201.245256887184
"31",-0.276718687151376,191.476124951023
"32",-0.193748386707458,117.33853718763
"33",-0.315448137677545,211.432807277942
"34",-0.264692840035162,211.529126019082
