"","alpha","sig"
"1",-0.240736630912548,172.292839454708
"2",-0.432512770804722,279.176524365244
"3",-0.253941473993937,183.090678539936
"4",-0.122743986341277,105.389624117684
"5",-0.290668449215134,214.994572972135
"6",-0.140912390797604,125.163000935247
"7",-0.283918921656814,191.948207358541
"8",-0.168579988825902,168.846757376952
"9",-0.201625382079908,145.414667963183
"10",-0.30796988145357,222.546311543703
"11",-0.187628627587911,132.962755263885
"12",-0.147647411774757,122.169343274889
"13",-0.313179973262311,232.303274455867
"14",-0.236871754541679,156.570291300717
"15",-0.193729015639375,117.017394788158
"16",-0.241910381549378,150.645729282254
"17",-0.194573612409505,128.135304318031
"18",-0.346565519872639,242.998422364869
"19",-0.149752587031148,108.940993833599
"20",-0.289198300800305,192.990349752888
"21",-0.234016342437727,172.96009200184
"22",-0.193160228008746,150.936820470914
"23",-0.232537271670846,175.395050127828
"24",-0.269986474134583,169.558431020339
"25",-0.222979580830733,165.043874074732
"26",-0.264943006314148,173.029049632482
"27",-0.136108171471147,114.639796592233
"28",-0.255229801722122,161.106767168962
"29",-0.274097014319745,200.001373749232
"30",-0.276352247537959,179.250143292057
"31",-0.257511098644387,180.063674449345
"32",-0.175537327245368,111.413105155415
"33",-0.303154497057184,202.929926083873
"34",-0.257148618470211,203.08702452723
