"","V1","V2","V3","V4","V5","V6","V8","V9","V10","V11","V12","V14","V15","V16","V18","V19","V20","V21","V22","V23","V24","V25","V27","V28","V29","V30","V31","V32","V33","V35","V36","V37","V38","V39"
"1",310.382820670484,570.482136014618,387.182227426756,333.729315278394,456.291487839292,433.570941470648,397.09440686848,406.548785580674,353.739949991221,416.316717522819,374.39143598392,238.214323243972,467.01302199583,351.474881028524,283.798662130094,328.519128141414,316.879959423435,537.795151289449,311.092275940278,423.638196572059,398.212649399991,368.035663659006,414.811338258689,379.452459149112,383.909407598151,341.774655603082,248.493241603405,381.08987091078,487.284832266764,342.995253692527,429.941452602298,283.883519071319,422.838557892771,508.153940324528
"2",299.411443898869,562.927108078146,384.312322891039,304.202042943668,443.164540581003,429.37099765114,388.457236512741,398.402754694856,344.062376983203,408.376250023356,359.101505381244,235.342317079543,459.301324100709,359.352891523071,283.611763473527,313.210560494051,303.757532830564,531.952670204022,306.607309421414,388.075670944752,418.183139439197,379.31422984711,395.318211424598,377.47113658069,402.933575161227,339.124004919847,241.303343390515,382.760205160799,483.910862911826,339.695908805696,421.858954101458,275.276944416914,412.82981756651,501.819374828453
"3",301.012890870157,564.282746258558,383.008352353109,330.918993260791,444.563192963192,430.972297271748,391.043919603138,399.71523274284,345.587059835875,408.988714654819,361.145574838839,235.221679539114,459.967508868309,356.012062378034,283.35257898406,308.144552786874,294.290456408653,532.055249059178,296.814443544177,390.916315790466,406.062902288599,373.89093497302,411.754234076201,377.406836950626,391.883167461819,339.394682075678,240.049749293221,382.385083957193,484.534465923007,339.444785612,423.634204593246,273.731730816933,419.11837890746,502.960555477573
"4",302.889837242337,566.072964975668,384.630391357107,328.040258559703,447.142931230776,431.447797709402,392.757400997155,401.168325872917,347.266111024871,411.127547234713,364.51453806997,235.954564285002,461.659818838571,355.164230943962,282.921738873641,318.556651614562,307.556754756883,533.745940288371,304.30258913668,402.268766840467,402.837879936276,372.406805461298,410.721863850712,377.63799237331,389.671412285832,340.221520321658,242.329974740661,382.016332207638,486.012278230275,339.951393162047,424.678969385481,277.24180433357,419.456651869113,504.173979816434
"5",302.516161903784,565.706422119345,384.644484417247,320.058051504017,446.623995266617,431.20525297784,392.030250140219,401.100158534163,346.786570183251,410.854709121244,363.684638067723,236.105764780781,461.500418351295,358.038197846589,284.462617363038,313.082686219479,300.969669642005,533.575093613642,303.924681749617,397.662461131046,408.901743129924,375.332017054254,405.353649090302,378.40450178502,394.862871926896,340.451726559465,242.285361992507,382.837994143971,485.742197133541,340.665504784843,424.617856197597,276.284449821628,418.160311619261,503.979224249948
"6",302.077277281167,565.242108686511,384.11741579669,325.23761205063,446.074969689811,431.10504556212,391.672095830688,400.54466274123,346.484452557153,410.19701282812,362.947893619929,235.788365655754,460.937062875648,356.296217318223,283.480104339253,313.325530616193,301.291472717723,533.061579080192,301.408400719553,395.269455451014,407.891206699954,374.531787907177,408.532351650508,377.900204029396,393.488973838121,339.933305647163,241.624368623493,382.53660653446,485.293786638336,340.202726979394,424.225611360371,275.753483587672,418.491712803952,503.685165373084
"7",302.218058659442,565.411397113451,384.259215713721,325.502598525907,446.249915968728,431.148462629693,391.883266185175,400.687385641802,346.585618608025,410.406248123291,363.233293521769,235.815633062875,461.13650500987,356.272047772556,283.410235336845,315.255310789742,303.510722788782,533.218247386586,303.033608816011,397.697186141292,405.968872994828,373.839183238719,408.976957365617,377.717888021027,392.193452760701,340.030572260576,241.799028052953,382.321648571386,485.451135021804,339.984804351331,424.27709654801,276.244825929759,418.596943542372,503.74378053446
"8",302.31471492467,565.487368345657,384.362774689056,323.421708115987,446.37663931363,431.184304110116,391.956364265977,400.825908261369,346.708724442666,410.549012600545,363.392897227174,235.909490378712,461.214653749138,356.945925205186,283.862379464071,313.449604225265,301.416020409527,533.321183470916,302.921502395936,397.705708645945,407.052174927422,374.41550299648,407.476123685824,378.035326109634,393.20911104155,340.169708239507,241.952760492996,382.532686700853,485.532128683553,340.279529739065,424.421253784105,276.127267397039,418.517159456341,503.816658911492
"9",302.249705991088,565.433287203971,384.283052190809,324.374701225897,446.297395284097,431.159004631063,391.886288125491,400.720729394964,346.597012416198,410.443120197292,363.287861457201,235.860214315748,461.139924200018,356.501977146602,283.571253273968,314.235491110096,302.394083432422,533.246921870657,302.395447441128,396.813285559909,407.344392255245,374.383980361008,408.036594690171,377.935947462449,393.224569140084,340.068412517441,241.833032318835,382.504191761056,485.473864816248,340.223386244802,424.333799632924,276.048643142534,418.516058254081,503.787466332378
"10",302.25131761298,565.438420841665,384.299583973071,324.688572178809,446.288594465575,431.158727874569,391.882582066406,400.740847514313,346.620623268055,410.453166590778,363.267809033642,235.862184209163,461.163560249157,356.575972392075,283.622156499328,314.34817567276,302.396712569038,533.255928576956,302.794197287705,397.136321365359,406.852793272984,374.221274768025,408.379101545459,377.879626588862,392.882958153237,340.089005845166,241.844081861634,382.458954490609,485.479731960008,340.151220714273,424.340034755254,276.146045515095,418.535476637283,503.779364256706
"11",302.263520553639,565.44048673031,384.306681324736,324.175013881813,446.312251705273,431.16604247528,391.900911562895,400.755161475015,346.654639579427,410.469699502717,363.300210126643,235.873041530028,461.160923618965,356.680654265426,283.691549174104,313.88664147642,301.979963283754,533.264164420979,302.728596787279,397.356687590042,406.93495519361,374.305225601916,407.992838291672,377.947507489307,393.023554332907,340.103614808665,241.876887887969,382.488472958491,485.483833004067,340.208746197111,424.362014735696,276.110625973233,418.535463247027,503.786825726203
"12",302.256113451377,565.438413765556,384.296061116525,324.304231276301,446.303130616261,431.161343441127,391.89599856994,400.737816828462,346.612619594973,410.457084091796,363.29540835452,235.864021428609,461.154669839114,356.574277390825,283.614944643434,314.246031527679,302.349749587462,533.256404552867,302.612555132713,397.147856941001,407.071947840303,374.311788211559,408.028756752246,377.922842178463,393.070910468868,340.08527414923,241.851869383125,382.482522949602,485.480148868081,340.197358432722,424.342876922098,276.090365910181,418.522484094481,503.784974880115
"13",302.259106206655,565.442319436099,384.303503179788,324.436364540611,446.302498190475,431.162480476242,391.894189740808,400.747520470502,346.631366386204,410.463396202634,363.289854862143,235.867924436424,461.163056706451,356.615341511262,283.649099197273,314.133849852418,302.193510086594,533.261800080973,302.718894313204,397.142631922753,406.993719302346,374.285556521762,408.170182878403,377.915844084524,393.006924813034,340.095216027835,241.856936676468,382.479478228036,485.484230286687,340.186142814753,424.350329612984,276.121298942879,418.529282571143,503.785477734965
"14",302.25914762286,565.440016874247,384.301654050744,324.324148899967,446.305254599516,431.163329708853,391.89563551213,400.7464641525,346.636615445214,410.462659817896,363.292612931849,235.868344562083,461.159046744686,356.625080624203,283.652941980841,314.072726460729,302.180034034728,533.260296675396,302.693129612931,397.225885055725,406.976394398587,374.29651854135,408.091855710727,377.929412699919,393.019790727628,340.09444744187,241.862742345941,382.483383190668,485.482304041849,340.197230065678,424.352017555813,276.108707046931,418.532447387064,503.78560087837
"15",302.257798969062,565.439623493819,384.300106013246,324.327968269672,446.303629993869,431.162310775906,391.895266932664,400.743623261287,346.624167933074,410.460495599998,363.292676207102,235.866558092704,461.158581954773,356.602646860937,283.636696141447,314.179222001504,302.25788437343,533.259034021251,302.668212201724,397.195492083679,407.008866306875,374.298257639645,408.069179545246,377.922960301236,393.033910236245,340.091361961308,241.857210802522,382.481316969642,485.481687583248,340.193957336053,424.348031041619,276.104207036696,418.527629757623,503.785032931404
