"","V1","V2","V3","V4","V5","V6","V8","V9","V10","V11","V12","V14","V15","V16","V18","V19","V20","V21","V22","V23","V24","V25","V27","V28","V29","V30","V31","V32","V33","V35","V36","V37","V38","V39"
"1",190.643589834849,300.01541214724,258.103763662299,178.412552469143,310.11893346774,219.249662582368,229.722228494786,245.674086051268,205.613126169811,288.70134675361,197.096637134835,211.944562140392,287.917799650433,169.575226660635,183.908402110432,226.826653414911,195.320119628789,340.294392126224,171.067167179608,283.681394488637,224.772676156506,171.921241961327,290.797660713127,245.748476565665,248.885226930418,250.640951302998,174.13327432609,208.776431799279,261.693246917317,224.259992583597,262.288309508658,169.964810590601,242.10048360704,295.355004036311
"2",196.075304937198,304.732678411634,260.845066792734,181.364828560711,300.514878880788,218.504281685992,229.944529431621,249.843391684865,197.004109835305,291.236839917754,202.850684404758,213.593518657234,288.492440971263,169.56276052939,194.94398136419,217.469252254128,194.838772609728,338.408826055702,164.060905716226,293.67138257881,219.870123257583,179.098917875499,269.138231857769,255.622546137976,247.849759207198,254.567312235565,179.220269112974,222.342441236936,263.465923318775,236.846082904692,264.384982638886,170.328986472025,263.370197151451,298.170346920795
"3",192.517284839519,300.551583077775,257.492709528504,172.929497368534,302.979024223378,219.826101902678,225.964280445372,246.306187853722,200.229847318596,286.428002570319,198.909462773727,210.450874248452,285.084338680674,164.863527782363,190.955325872312,223.970362743868,190.463992744311,335.597180322147,166.369221316994,292.826397046944,214.622256175505,175.09439289433,268.553085182022,250.637421276541,247.007177848797,249.352314178835,175.846110937062,214.690266508195,259.400840102084,231.000668125466,262.118861467321,168.705769430457,249.400251529381,296.175854911308
"4",191.882731580319,300.164475556922,257.123515092993,175.150375038742,303.651455821366,219.232611304962,226.213775076607,245.672228914562,199.469388590885,286.234149417777,197.596968432474,210.439953004837,284.54392936083,166.302448197908,188.582848124499,219.935801784651,192.718278645963,335.642120786203,166.164564829724,288.50927353882,217.664138851648,173.634692678628,278.076800082202,248.336923891232,246.750493092005,249.683813553457,174.996338317816,213.194226392208,259.166297004961,228.564797887811,261.368547519979,168.249445020568,247.118201559885,295.567548704563
"5",192.778237325476,301.14058566377,257.944314799441,176.742108780614,302.943876910207,219.181334774364,227.171096258251,246.651187144771,198.283100190409,287.430736815631,198.819606076696,210.994342837034,285.481969894107,166.171443493501,190.959654931357,219.728419237904,191.68941222693,336.418138751033,164.637439613721,289.863362740661,217.905087358186,175.078229148445,273.086692007452,250.594374551191,246.71429929091,250.488329390242,176.042571770002,215.426946464549,260.123514430968,230.927588729949,262.111756783556,168.460216898715,251.868684049278,296.097307698962
"6",192.810194470849,301.162916358623,257.957212453373,175.245620017698,303.139268223138,219.384810331858,227.024680818927,246.663105620324,199.695950730751,287.368102120003,199.050017488644,210.978320137504,285.489821698887,166.26777655497,190.434189097672,222.206246608115,192.09728475854,336.396177977191,166.110818147136,291.190084044431,216.870310376516,175.134176844378,271.103834937654,250.660685021278,247.024724030559,250.347502281988,176.023015239169,215.202431519809,260.131270685051,230.900209499002,262.212018527692,168.835779753215,251.034369103937,296.212212631155
"7",192.623933453287,300.949097069385,257.792242870673,175.529698963692,303.247019331124,219.333770679593,226.81362507726,246.474500385379,199.304362416104,287.112677924822,198.701858632484,210.884837708759,285.3177787385,166.358046333631,190.155452025106,220.283718800974,192.358810992073,336.214461416934,165.830232941158,290.304459824336,217.310378835573,174.76335790178,274.537615399307,249.943797785806,247.007421070976,250.258416941278,175.80927975027,214.777283173764,259.924105913894,230.299237130025,262.036582069074,168.623731601508,249.983010806647,296.084218300797
"8",192.624169842825,300.947035091996,257.786258280964,175.930092083548,303.138413093345,219.289837469615,226.865075230874,246.470197917816,198.981138583098,287.135060247179,198.678185227011,210.877928975502,285.299240974492,166.152768182275,190.43054269241,220.802208265582,191.838575697792,336.21946742143,165.378024414247,290.088706059165,217.474007356755,174.845693206866,273.866428667135,250.172783651418,246.860448563356,250.258145697936,175.853798897948,214.930980858027,259.922833790934,230.506339431162,262.024215777116,168.562317188959,250.563207132143,296.061444441427
"9",192.666232459048,300.996144302937,257.827347022325,175.576309878009,303.144577762968,219.314180428322,226.909998275941,246.515896464296,199.309221735668,287.192934508163,198.772386776615,210.901491231899,285.348178339286,166.25760935528,190.309298249658,221.139031023107,192.164293159632,336.264382785646,165.776637487805,290.480066601421,217.218908432781,174.907147499504,272.520404047856,250.307326651722,246.906328821049,250.281699856587,175.882865870958,214.975833176701,259.971483573533,230.579603927187,262.066660433005,168.660276894188,250.653982952663,296.092944224905
"10",192.663088967665,300.993877301806,257.824828990884,175.612248764122,303.174083978938,219.319570348739,226.893564441787,246.512592557267,199.223840363107,287.183803226356,198.766623679198,210.901899729256,285.344813619095,166.266047510907,190.322572772879,220.634633023965,192.114519773781,336.260092291813,165.686781155906,290.424405484171,217.270739761356,174.869164228958,273.45207592176,250.181046465021,246.948079654117,250.283095578525,175.869591669714,214.933047806203,259.968798011875,230.498005851327,262.063962251682,168.623806231195,250.458655866821,296.09632914384
"11",192.653581232842,300.984979802882,257.815212858322,175.738874165667,303.162971868895,219.312052681414,226.884304551939,246.501122933976,199.164965818737,287.171223034579,198.741987211425,210.895025290221,285.336799363336,166.22489430045,190.351523522344,220.941750047042,192.020445641963,336.249913621128,165.596486933407,290.299162254658,217.347895924326,174.866372604718,273.666422571796,250.188286261614,246.917007667494,250.274080841975,175.866361649902,214.935378817885,259.959292125754,230.511458236692,262.053111041495,168.617033716668,250.502366111687,296.088643901592
"12",192.65747522699,300.986089992484,257.820338006933,175.659356516935,303.160846694503,219.31382270465,226.890674440883,246.5084145882,199.236612009106,287.177056328336,198.7490941266,210.89899313985,285.34034750367,166.256498736121,190.330068268303,220.890279477208,192.13047587019,336.253924115442,165.697750550839,290.368892409291,217.298663519874,174.880274313553,273.135883871468,250.231067913607,246.916704667187,250.280091680863,175.8731112536,214.946608224689,259.961440392073,230.53234304111,262.060691365667,168.639006594819,250.546568747232,296.089545995404
"13",192.656695399233,300.985428446086,257.818115203343,175.64916651125,303.162888177523,219.314252066854,226.890959799822,246.505244252346,199.208295528712,287.175984506759,198.753449913657,210.897534899735,285.336988960491,166.243845541013,190.33412441547,220.799937567349,192.069293386317,336.253098001713,165.660277263724,290.389609395172,217.288557378161,174.874458031046,273.274465988851,250.209597325519,246.926414718825,250.277482711113,175.869755303242,214.940983228701,259.960574846529,230.518149608315,262.057812677017,168.622586719575,250.516085282193,296.090160540174
"14",192.656071341062,300.98693376041,257.817671938256,175.683665821114,303.161599791052,219.313281760972,226.889026029347,246.504128312017,199.198052217519,287.17530232068,198.749866940422,210.896391997629,285.338730763083,166.238897863709,190.334476133282,220.89811082154,192.072730642319,336.252779950353,165.643522099358,290.352603686135,217.308636787584,174.870469416302,273.456249728556,250.201143997845,246.920366999693,250.275898792592,175.867482327067,214.938517681756,259.96156529411,230.515098444316,262.055693894749,168.623148044351,250.51182342778,296.089791966503
"15",192.657873177547,300.987541345981,257.820304055253,175.67169951572,303.163135954827,219.31431270021,226.890269196261,246.507949873751,199.21823446605,287.177539366533,198.750623253226,210.898788696471,285.340655639625,166.250902399071,190.336286916171,220.854067545099,192.099862211683,336.254501609274,165.672730089979,290.360393452567,217.306291486501,174.875920633945,273.311336717936,250.214244683338,246.921386441523,250.279639739828,175.871603555095,214.942806536811,259.962596532543,230.523159991235,262.059946990785,168.632305549793,250.524810019506,296.090478007982
