"","V1","V2","V3","V4","V5","V6","V8","V9","V10","V11","V12","V14","V15","V16","V18","V19","V20","V21","V22","V23","V24","V25","V27","V28","V29","V30","V31","V32","V33","V35","V36","V37","V38","V39"
"1",274.165775246353,477.216118082531,470.050865124549,335.140995829544,415.264483396593,379.967790749996,303.235472186118,422.215090627791,345.325214322892,378.612493239364,355.166126055692,352.51080307964,497.622826146286,319.939511730858,266.321380986155,336.986397712473,328.864045249589,488.016645444661,283.94945058515,432.232760292268,405.239343243177,406.223270562482,414.266713566806,498.172657718793,423.675709193135,380.548385489022,295.247334889022,381.475166743406,419.474641342038,355.176050331096,421.657867910813,272.25789720108,479.580744665776,498.822086332881
"2",258.401596212736,454.249670764615,450.389400565661,340.528851253412,406.392737308577,365.745915680574,291.778169763915,396.945461571016,317.064913709403,351.903400419888,350.710096214853,331.683928672315,470.826582821032,292.532979729883,245.710139838794,291.645937034231,309.77157663554,463.403980478655,282.314266268973,388.225813721841,392.782688737262,384.636934289764,401.001718704996,479.104978315189,410.432165396749,356.428255007528,268.859450565776,371.028087364717,397.801392963274,332.514911126659,394.818237158239,263.466866164575,444.019655804006,479.679624544996
"3",265.091083337686,467.097970450983,460.12520288252,329.952985183123,409.743458638089,374.657750399895,301.640423095448,408.90690088895,333.238807335897,366.440050112507,356.536087986997,338.373022960542,483.243536947954,298.94428080042,256.065484051004,318.605526940762,327.551759366645,476.554905007673,299.479473216746,401.493536805711,402.4810953473,395.301080407281,406.634345215249,483.161223886685,419.591138814488,369.85081454095,280.800406303982,364.063111080835,409.948948145651,337.792491599867,409.895406710607,262.999217117786,460.999947074374,488.258752911407
"4",269.142281565706,471.601418031761,464.138796049184,333.692870266138,413.015656947345,376.326451311632,303.951593592398,413.617868679078,335.434369422872,372.186335040358,358.274570301772,341.990420300461,487.605021482716,307.14834452814,258.483701852115,318.392253755759,322.729808620664,481.155443834103,289.430363398071,412.928460071247,404.176452151782,399.00361714011,409.471485547837,489.661065354457,421.54615179869,372.624903408929,284.875479580856,371.320694583635,414.295257769321,344.439880928695,412.81728333135,268.608781563074,467.390727432159,492.018110774273
"5",266.91242918908,468.32241924932,461.524951761749,338.745539367377,412.206320222787,374.331525963342,301.295789068591,410.431119961575,331.742863266065,367.8595569665,356.954487440578,340.179624432476,484.63081310786,302.922882005313,256.672906705995,311.674402819861,323.805555004164,477.757324390126,293.496489042508,406.586051790864,402.371828650802,396.309384331505,409.514415803712,487.297636211039,420.088638043604,369.852407712164,281.50771261731,371.72687119413,411.111973460812,342.396773473067,409.829546692359,268.507780082261,461.825946110504,490.039821945162
"6",266.188476973659,467.573906784333,460.907888016518,334.607828103735,411.213910297213,374.273366445764,300.949801667192,409.802578665024,332.587016888121,367.006272299144,356.425009972436,339.666493438919,483.926039866939,302.167853003309,256.368888405553,316.87044485528,324.220759146868,477.066147958358,294.077593699161,404.540909718124,402.140660676117,395.871680518008,408.100124087579,485.897155256635,419.627320351273,369.613184156613,281.344064698563,369.292474970625,410.419423899832,340.705837567045,409.643235162204,265.753912176043,461.487027136097,489.337571209293
"7",266.767281672179,468.302633166267,461.503528925521,334.128086766358,411.508438364241,374.649269156688,301.62516596933,410.48631070782,332.667306381698,368.049020146305,356.770922867063,340.058429524281,484.552903209621,303.389139185949,256.538418917981,314.243312648637,322.436181427099,477.826228159111,291.362882435379,407.078664660616,402.418396818782,396.462811672265,408.022158146001,486.878838563912,419.834961394347,370.093151371945,282.007542860241,369.808180341795,411.127095665985,341.612057598589,410.099724892098,267.140250727622,462.889567864385,489.785966751113
"8",266.857371940671,468.433243733333,461.560086088353,335.959871802299,411.734054434587,374.604799242988,301.635952181273,410.523541063695,332.463008835266,368.121088996645,356.892784984897,340.102963093465,484.668422120947,302.982043737999,256.650621369708,314.330649772646,323.974782538515,477.909329190486,293.107126656446,406.914771901719,402.445274115376,396.419797286411,408.66681619491,486.911149282474,419.970749262666,370.096754356082,281.856873878064,370.310053230646,411.234344460257,341.807478301862,410.091277013803,267.251496091065,462.55092924887,489.903414925883
"9",266.751757432206,468.289372619479,461.474908246046,335.393236760224,411.656681363986,374.559605516641,301.487875412559,410.445995964048,332.731538630494,367.932876951103,356.814852797801,340.056330773569,484.572128999946,303.027331312083,256.681051275159,315.737588364603,323.626685731585,477.777116048218,293.117726963078,406.168669931973,402.441645932446,396.364408357149,408.558764887414,486.726244669031,419.961025488655,370.061497430615,281.830232711704,370.078660286194,411.103282736128,341.565275330911,410.079629347823,266.805232533003,462.369910985745,489.817400410926
"10",266.729345614297,468.247338041202,461.451408844796,334.977363297217,411.607364563383,374.568608379023,301.496910420625,410.415981936227,332.602922960612,367.910643479949,356.785139142611,340.041707059135,484.517300595495,303.096627797535,256.599920302754,314.424014248543,323.23315141123,477.74742858279,292.429623020774,406.511841164465,402.431303698771,396.388963616693,408.35570161756,486.782454656036,419.910221327984,370.032349483151,281.861396468949,370.017519984344,411.065781652708,341.605243017865,410.051280019098,267.102070059748,462.5178757283,489.792349202204
"11",266.74592713961,468.283690772729,461.459812749333,335.345368109992,411.619140132275,374.567377359585,301.524671461859,410.41931397609,332.53715646499,367.943266623876,356.798136685212,340.03997447259,484.544058604893,302.977286798833,256.588641949278,314.853173009689,323.662605152584,477.772510614597,292.845973252206,406.616943532264,402.401734057724,396.358024079008,408.44116966182,486.766750399229,419.895087468315,370.02933110428,281.824603738628,370.069094597761,411.096290606048,341.614680433527,410.034198515084,266.980994919681,462.477471976076,489.806502876572
"12",266.760104252387,468.298547717407,461.479747388593,335.330028314688,411.637698329431,374.572524062842,301.524707949589,410.447884788896,332.641240524582,367.962073388275,356.810923770588,340.054857526281,484.567532076281,303.05448173438,256.640756878678,315.096983291892,323.471286930562,477.789973458996,292.831569292041,406.454012658901,402.420420300516,396.373850089866,408.486404881898,486.77555670695,419.927601930956,370.057102997898,281.845023904247,370.078044737852,411.112430217048,341.609566418663,410.066973134265,266.969035885232,462.463817689802,489.816560014868
"13",266.752000273434,468.283916198795,461.471080310318,335.212529124955,411.633469140429,374.57213116578,301.517926311221,410.436513012192,332.610498640604,367.947227193645,356.806807146211,340.051750627685,484.550553176216,303.055643349022,256.622233716519,314.706076079935,323.471492285496,477.777512061054,292.697512036318,406.489111233779,402.434409196144,396.386124483048,408.447286612383,486.784236762226,419.929329267498,370.04708351938,281.852449752332,370.067786808443,411.09868708257,341.621728709302,410.061653267155,267.045952522036,462.489118529384,489.811949467716
"14",266.747692053927,468.282392578876,461.46504477348,335.269314992866,411.626056456976,374.568784189312,301.516970663754,410.428311200533,332.585133072346,367.942016510073,356.801542672351,340.045956755382,484.548097897002,303.019592473306,256.608285236393,314.928772905444,323.545517199476,477.773531780704,292.788626974608,406.531601333748,402.418683930495,396.370004084468,408.441670836445,486.769442344032,419.911887439813,370.039288919626,281.837806442981,370.063658798344,411.096290821468,341.609965486202,410.049201406202,266.981013649051,462.476338114095,489.808620385287
"15",266.752271461767,468.287202405293,461.470988951431,335.28459900066,411.62986031498,374.57062324307,301.519736276088,410.436596628851,332.612115767881,367.949447048915,356.804425788492,340.049837879426,484.55446013155,303.043505179358,256.624316173587,314.909331490114,323.477945032611,477.779343635097,292.775406707656,406.500934071654,402.418122837298,396.372975324886,408.457838407836,486.775305411913,419.918274869847,370.047082700975,281.842891760993,370.068392203174,411.101483776663,341.61129557714,410.057596844169,266.999648528104,462.474525946271,489.811068723794
"16",266.751801188175,468.285880959902,461.47017356148,335.257697220414,411.631106828098,374.570987424531,301.51951033517,410.435116785326,332.605389376785,367.94821424622,356.805392820731,340.049885236777,484.552183170699,303.041347155952,256.619679577166,314.827158341927,323.508228882375,477.778216294456,292.751732089412,406.498377804458,402.425175225596,396.378016142425,408.454551496981,486.777926355036,419.922764698798,370.045564161053,281.845603834572,370.068653141483,411.100151914705,341.61622275552,410.057526778104,267.013719919137,462.480251979068,489.81129787254
"17",266.750699637035,468.28533825462,461.468833351816,335.264401221969,411.629423492138,374.570209394595,301.518647789478,410.433407365309,332.599484762194,367.946603515423,356.804176242488,340.048689423813,484.551779303937,303.03397844636,256.616603334751,314.908115400093,323.510215391116,477.777145855383,292.7725643039,406.510277540581,402.422550100607,396.374297925013,408.449076257801,486.774055729992,419.918131531124,370.043998726285,281.842386932925,370.06676690674,411.099456706851,341.612637431177,410.054862395083,266.994230998983,462.477759126008,489.810563583961
