"","V1","V2","V3","V4","V5","V6","V8","V9","V10","V11","V12","V14","V15","V16","V18","V19","V20","V21","V22","V23","V24","V25","V27","V28","V29","V30","V31","V32","V33","V35","V36","V37","V38","V39"
"1",169.14531608492,195.123683872945,137.865357655501,104.237408863782,199.04432417459,177.485580194382,139.651375999097,151.982046201868,152.55463489915,171.133387445766,167.046327802233,144.026068552675,184.351272699715,190.232581122461,134.4833600836,149.150205330348,144.604302960325,261.55104749833,140.928858079229,188.683646619914,157.162556901584,168.685534898312,158.765104452568,172.010523709791,166.665914958494,213.566391172358,105.991256264838,193.664467295372,175.941666974454,176.707607830179,171.246264568341,140.380028122252,197.69670858611,219.303852507173
"2",170.138292910554,199.052605424331,139.996891950313,118.638894839723,198.43238277994,179.275283933581,142.866690139056,154.141790367374,152.132242711731,175.932563036915,176.870741016986,146.453232373195,187.639644562918,192.769525764611,134.830856179668,148.389469399717,147.609135726663,271.643076844,141.069180764246,179.439941005555,159.512507128883,169.425684390208,165.263372379722,174.523291861677,170.240423606351,215.532381595668,108.979680257014,197.553660852481,179.729993419104,167.998539284643,173.012550945353,139.201759554006,195.834913213814,218.249421289891
"3",171.946016450831,200.197426070339,141.285743377268,115.070610207573,200.111172434319,180.175566896512,143.438067260789,155.7239829809,152.9669159063,176.727212749065,175.879722201954,146.519284711493,188.748487222603,196.065177277556,134.546616206633,148.530767932468,147.226153188823,270.639047391943,140.354451695467,186.959370100924,161.458645949543,172.539078942124,162.462278160122,176.327833685099,169.475624629019,218.531987559057,109.724629563838,196.774438113705,180.701925538779,170.671609587947,173.668031212443,141.649532814906,202.298841923727,219.838194054493
"4",171.390978690135,199.378943469806,140.665971861634,112.088595004237,200.0305265948,179.650547184077,142.636279064859,154.996867553662,153.490007404495,175.716890322182,173.833375667452,146.280503393562,188.117635774364,193.954566608491,135.546007484893,150.289805375661,147.54305470317,269.593815678467,141.780486193843,188.339831184072,160.517267765109,171.57613173405,162.072141863798,175.289516336605,169.239333165595,217.17806075926,109.071898536221,196.47117396276,179.909958468047,172.886272624941,173.423075348589,141.265493622189,200.95013424352,219.82077348314
"5",171.084544692616,199.123731190477,140.465738160941,114.948498172697,199.585720580043,179.563936960632,142.577742488989,154.772124971112,152.738396247455,175.556759019267,174.394519198049,146.226707322008,187.852417315916,194.18177411911,134.831631991964,148.506170967213,147.337040401108,269.631861657048,141.050103030409,185.026711694887,160.166779429161,170.998157287169,163.429498180377,175.15067845896,169.539196012705,217.050512317936,109.072383994791,196.675858372227,179.694287952877,171.020732062841,173.218080925167,140.566059080949,199.429415552837,219.481297637715
"6",171.226095119475,199.299454881305,140.577258450634,114.48353410103,199.654859827044,179.666610392102,142.757885787968,154.89711218554,152.826193261519,175.752151816236,174.743198678382,146.235248822293,187.982061417993,194.470221569041,134.781817919857,148.973985335018,147.076234536001,269.771610224824,140.769691314298,185.578959546035,160.480165187881,171.384783578343,162.732389899725,175.380651004309,169.343816269951,217.251317185691,109.122878353112,196.577005900092,179.859105206276,170.991654648981,173.246921283937,141.007858382303,200.272886973011,219.51973520639
"7",171.285149948709,199.366897418255,140.632072563967,113.61429067309,199.760555643911,179.669566088019,142.758127325839,154.956189767478,153.05778954386,175.804971786321,174.557968889937,146.272932863235,188.060447336944,194.238544880882,135.075322117308,149.382297372155,147.425207698789,269.807816639473,141.25004226707,186.606527586232,160.491267697275,171.409349354748,162.496057359612,175.333151809974,169.33778993998,217.243908846286,109.12631434244,196.587188420276,179.918380883583,171.592572506827,173.322420825642,140.939506248366,200.434258072222,219.592735087027
"8",171.25268448387,199.322087282503,140.607233209402,114.275274417516,199.735612780858,179.655728117474,142.720479493961,154.932568147751,152.93359253741,175.760786831607,174.519916805469,146.271437424862,188.023603309747,194.365333812941,134.94549444285,148.887427585253,147.300667972789,269.775844219038,141.086563787021,186.059295989833,160.415818360103,171.322172424636,162.947138084716,175.328804153719,169.442973636395,217.234172740318,109.143229421313,196.635191285389,179.877765950637,171.381215872476,173.313456941677,140.890780688291,200.156291400147,219.578921159099
"9",171.237913019763,199.305174909362,140.589275275965,114.277050697211,199.709690598571,179.654003876411,142.721345042134,154.910259709399,152.923584589499,175.742002019724,174.566272713252,146.255801078115,188.002639874133,194.33893245845,134.929502797356,149.146077867518,147.25210188651,269.759907718627,141.009624855895,185.878427682193,160.435822320275,171.34404704759,162.831613100673,175.335569752189,169.395799596041,217.221266326897,109.124740519852,196.605881885911,179.861628446962,171.28304462664,173.286289506716,140.949564780693,200.2032536425,219.562076092954
"10",171.247526605334,199.318126493637,140.599255876983,114.011001140271,199.719062062975,179.656235734764,142.729809570049,154.921434401347,152.960954789106,175.756805095596,174.564828812479,146.259877998367,188.015804409766,194.303426477193,134.970401815685,149.112079213855,147.332768289925,269.771430527637,141.112412397839,186.140959478983,160.44642183717,171.352871307702,162.68929483815,175.324698349302,169.372659113281,217.226354442933,109.122736550332,196.599475847802,179.87388812655,171.381730299767,173.29513869972,140.905961968932,200.261837980484,219.567033085946
