"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"1",241.495131589033,293.236927357523,304.015249416278,191.221498593177,290.966348112073,257.336942790586,207.770611039401,138.632482896476,248.193702798238,269.098830282394,235.187828890172,148.280617301733,276.517262133562,309.292339216621,237.004914932026,184.478012622291,240.170938950372,251.328791097449,315.220382802238,234.151428826931,248.236910278599,307.451488889602,272.547456473664,249.794922009231,264.525393070206,290.40554013204,320.760439611692,229.701798073191,216.491509015272,251.169176333816,297.508683651837,183.342505163848,236.607748770336,293.8654693086,209.64996082438,339.365766674225,332.377769770618
"2",220.823881339809,268.230445815475,284.605699469548,182.504573183429,275.754889025553,241.436666816178,193.938867702189,120.915901782798,227.967470290934,245.735640172437,217.16337986577,128.250525605875,247.424107054509,287.942911343566,196.471777056656,171.494431812491,221.052345955345,229.104265671817,293.00178723263,223.833283300442,224.636868583764,284.851422840621,257.474499890829,237.52474005338,258.270658786188,269.980974711947,301.473796039532,214.508549003084,192.837227619951,240.712852363786,273.773837566129,173.897448541489,217.089730159191,272.472993244271,196.753154341176,316.511977520176,312.174877658933
"3",226.816944728484,276.845717670874,292.195752771064,180.745676464349,283.097881144314,247.188791938119,196.442182730469,127.169191387493,232.750994806057,253.445707728778,223.182361517133,131.737765631609,253.99218982844,296.515903975366,200.753573890277,174.949213725813,229.393413668183,238.261874535118,303.835441914116,235.055924424785,233.331649983464,293.860506659091,266.184612771318,246.240105657134,255.058369324104,270.111627859861,314.570095904455,219.810091599145,204.373016802105,246.06481277033,283.254753599431,175.738436683447,220.611438782467,287.567202703169,194.012756037492,325.410663738059,319.03489747871
"4",232.452834390553,282.83569157868,296.930489480057,185.922042138039,287.282715624593,250.074355865939,201.739870827298,131.502340364569,238.315708895666,260.044478140368,227.936681098051,137.636157990129,260.580762144801,301.89214303957,214.60058303252,179.012370937131,231.675949121615,242.155066940061,308.675652303874,233.735503264293,238.579215356505,299.87004124413,268.472993881864,247.926137240109,259.623784468644,278.441235758166,316.867514500186,224.169709812487,207.895579433257,250.050476457637,288.735870692248,178.473558402882,227.184479740187,288.544882891654,203.389524608843,330.528351762038,324.583776689281
"5",230.507628085591,280.336539225582,294.785998961934,185.819445991037,285.150605798133,248.619685714348,200.837695458989,129.794515466986,236.841455492192,257.496001526985,226.178643902517,135.747962204357,258.33047114008,299.472890395568,206.689598830564,178.204407413483,231.362671804675,239.838758857986,305.69733622559,233.810036242796,235.850120714784,297.284497141257,266.868752416538,246.128213385366,263.159115009489,276.978417047046,313.702143727767,222.927975707922,204.86844068315,248.497083217833,285.898500067742,178.101132650311,225.357049582323,286.957056570282,201.256699401417,328.012321372517,322.480553897877
"6",229.055972463674,278.867157232659,293.614325010931,183.869417448566,284.060445542982,248.084774079688,198.946444893907,128.662182002098,235.340716139662,255.719950922273,224.948820965569,134.412969220072,256.889506308613,298.10395490999,207.193280584144,176.774587571538,229.96185931314,239.388085379073,304.656756598891,233.522192700872,234.808779463188,295.71666109894,266.519805959762,245.886453974989,258.716125591992,274.527529110484,314.049955617299,221.543150525297,204.6836865376,247.231765585693,284.744355192553,177.280674983186,223.735320429448,286.370558904185,198.762036065549,326.828884238923,321.048169945588
"7",229.64665060638,279.566648722152,294.214823912447,184.337781096412,284.671117345728,248.425140265568,199.523543442022,129.161322477415,235.83164503764,256.532937771539,225.460777529775,135.096117043035,257.516230369213,298.789255107896,208.327583645471,177.247923946292,230.087659467777,239.595726833767,305.425260798827,232.96546408219,235.537771323188,296.454742268779,266.566908539128,246.164694646167,258.527575266225,275.493399264282,314.35525159747,222.032419719743,205.125989738211,247.746478763492,285.454323528359,177.388980759591,224.428029818556,286.425725145286,200.486727332722,327.51170456777,321.67521191117
"8",230.008002588286,279.930427823166,294.504328281648,184.819963093413,284.945554125862,248.532262820346,200.030657356061,129.440088924375,236.192922792513,256.989460253936,225.770431480608,135.311039980733,257.840867724177,299.130898325425,207.55939884598,177.553033248131,230.733344132905,239.781591879918,305.655464108265,233.570113111271,235.733870416478,296.85637086259,266.748040919978,246.250899908758,260.821494909493,275.93977200154,314.110541284201,222.349718823461,205.139711959768,248.09631193282,285.723413737413,177.627384730233,224.69264926992,286.889142722705,200.170731935632,327.793128549101,322.027813969817
"9",229.838432405916,279.737779448276,294.338387589123,184.586309758648,284.774680221318,248.454741249045,199.7603226453,129.303599670602,236.052513713222,256.740640566819,225.625710713795,135.139054691283,257.678866508571,298.9422443833,208.08287098977,177.402872097818,230.440372559497,239.834050566387,305.464092878147,233.565325196553,235.561151145998,296.648425876916,266.837812378465,246.219470450302,259.80465645981,275.606325496581,314.316606724375,222.214443253581,205.143762638477,247.931090864107,285.555811905612,177.589140494781,224.561789183936,286.776786168488,200.102972862489,327.61026211073,321.851467751028
"10",229.750344631903,279.648615917599,294.267359196203,184.517965213647,284.706783893257,248.430887034957,199.680872842983,129.234540071284,235.970979444093,256.628629707176,225.549573598676,135.116231529187,257.602265105173,298.855834766062,207.846824503704,177.359190664151,230.393218930247,239.686750059393,305.410536606789,233.331679526202,235.521517037427,296.546687159364,266.708154163751,246.175201296825,259.3287154803,275.587583672055,314.32070950902,222.14196925611,205.089914183856,247.843828548743,285.482146646428,177.523900309165,224.499187395229,286.634053349559,200.229323085257,327.542591680471,321.766898503532
