"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"1",180.414077770215,259.11151875988,144.621934077403,166.669410408632,255.898002564187,215.058496340275,130.817647777615,128.534934349579,202.301459956387,196.291845991286,192.586570112546,115.44204249275,175.512621099579,249.681757722767,180.79998415824,151.008389229758,189.286775099057,184.068607001096,261.162280744456,179.131245662855,232.462313016238,254.717287862705,228.643999753523,179.437074491682,219.870580865905,213.681171636371,225.284084653342,177.228245106832,142.382158309775,216.430919126361,239.881192192203,222.954529913736,195.190849541751,245.605745652139,170.084660799712,155.577470877028,248.99551448008
"2",168.490495353422,252.78936094735,142.678061920203,154.836828103859,247.483659331488,214.322446593653,121.716549641382,120.707148128691,194.347712324766,186.636430801279,182.904086985907,115.723857969608,169.238871695716,241.191331246993,174.507943488173,145.827067257887,184.199681623323,179.788454680676,255.443432934597,173.289712027685,216.616394444578,247.163785001155,234.157654860062,177.642880299387,201.459584278757,207.461413344595,235.500938449819,173.704234409455,136.986237834167,208.843442319562,232.023442953542,222.857653001838,184.14760265107,237.848894498816,160.235359936457,149.059490333755,242.62420475032
"3",170.370149698907,253.956002665363,142.625775339227,161.943343158374,249.0341178874,214.858810366029,121.017438375996,122.518749305643,199.629917859854,187.911259759476,185.276314575278,112.255116867235,169.778189227791,242.847069740913,176.044037384067,147.716807720203,184.744195396612,179.002211746698,255.295407768552,174.488853607938,220.154858800176,248.657176007464,229.630233902795,180.224269733129,219.641717302967,208.551427994014,230.502985655302,174.514411217057,138.139862525799,210.890474599309,231.984505484561,222.054717092203,187.008386129195,241.211462528078,164.113167252687,149.964579693288,243.137567161986
"4",172.88873257599,256.062452926404,143.921699956618,162.361588373434,250.920731280455,215.174124480349,124.817714463839,123.96844847293,198.899531847579,190.647895629269,187.145251269092,114.266751349777,171.69631895693,244.544861611281,177.572222634613,148.373383620642,186.514869259137,181.305574815768,257.423321253225,175.981053432772,223.652326495707,250.718387600652,229.569792670279,180.09208420122,216.401575964428,210.354936176843,227.822381774439,175.924803247657,139.599058271843,212.810265865174,235.196845411576,222.617607961566,188.827325210555,242.353818009574,164.729120864312,151.906916813298,245.366117933219
"5",172.182633998382,255.453850298892,143.686861988064,160.668883336534,250.350708880891,215.062782155893,123.843888238861,123.477020031254,198.972899027375,190.01456690056,186.429844050063,114.860444441765,171.300064370881,243.937709277391,177.120985547942,148.26575307817,186.065340552617,181.052607500401,257.112021311137,175.482309395613,221.945828605013,250.16972916185,232.037185698037,179.790666303608,210.848316719099,209.899877260851,231.834569270243,175.609221863382,139.152970812499,212.107577599189,234.198201561356,222.833791687557,187.745858737612,241.678273890062,164.039466196288,151.388438478219,244.777380653678
"6",171.676208165915,254.969365486149,143.297669547948,161.217432688492,249.95062113111,214.95789788068,122.93935974454,123.161167226985,198.876002255124,189.307776981388,186.084559161775,113.854640372529,170.837144452272,243.555181739583,176.719779724092,147.949555071945,185.631803904963,180.279062018344,256.518392252591,175.169556375519,221.443074055493,249.661545826657,230.906426054784,179.835526819768,216.092745426281,209.408501949291,231.394474897733,175.217656940589,138.794430998772,211.67225248735,233.598564343694,222.576346602305,187.793202363054,241.447573252142,164.271052010428,150.926191343111,244.300369018148
"7",171.890964085709,255.19155106807,143.424284261695,161.339547414848,250.121565824859,214.993915117378,123.585455651834,123.315958736412,198.731763546562,189.564856110333,186.279609352238,114.063829747627,171.008466239014,243.706997364257,176.953156011882,148.045948548411,185.914827705462,180.675087674002,256.721606871442,175.364857793858,221.987097591205,249.83685046108,230.340616783011,179.837533669689,215.170199385224,209.651744489174,229.701954518947,175.395001287251,138.994035669488,211.902742369801,234.047900180629,222.562764369693,187.848462470478,241.609675171329,164.056423699558,151.129333131542,244.524181876738
"8",171.973955518296,255.260462647301,143.505009241837,161.151073268438,250.19469848379,215.018974320569,123.576884839087,123.350179188588,198.905426590372,189.719360134175,186.325034667492,114.279154065773,171.083274192259,243.772209753949,176.941805964548,148.101756364439,185.862867140178,180.714167386186,256.83386779314,175.373047488261,221.969147309562,249.947680778234,231.025995798347,179.843477519889,213.155135886453,209.710324698597,230.556304013353,175.417768810091,139.025302499278,211.97393808255,234.017797966445,222.634309635174,187.839698681116,241.637452427382,164.184405815754,151.206235241714,244.582180860752
"9",171.92188587022,255.207545496331,143.466027726045,161.21937393731,250.155124547616,215.007750490827,123.387598779084,123.32456060878,198.849744854444,189.632536022557,186.281225049735,114.128829765349,171.034761174526,243.748604840033,176.905644898581,148.056394581846,185.84225203827,180.579647292308,256.759609456367,175.327441693991,221.842576282272,249.902586799722,230.951330138134,179.84913907284,214.95756605303,209.622670971461,230.955453727012,175.388650664659,138.964039717862,211.911000501525,233.937641303957,222.624025053151,187.862062025848,241.599895277813,164.195656178303,151.14905314894,244.531509901555
"10",171.917291434197,255.211683160495,143.457080923006,161.245436836173,250.145089578579,215.00486078059,123.497169714925,123.329646581538,198.850484094763,189.610188801969,186.286029478572,114.144607755363,171.036563791237,243.737122505419,176.956146873315,148.083440127353,185.891233202827,180.662610270613,256.756870275813,175.360102933397,221.890452800367,249.881554916367,230.737798145636,179.84834967778,214.81198869292,209.65932951897,230.447885351856,175.405722401322,138.99450789807,211.911885810701,233.992938444086,222.613573321039,187.858959205666,241.617520797258,164.149887942172,151.148265829465,244.539104218049
