"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"1",123.247224256894,152.633383932418,135.029290432336,82.559677326632,119.487163332497,137.99937940363,111.848865292013,103.515426594523,134.695331560165,137.403725754153,94.6173152775674,76.1512271520699,104.180128532058,146.881538947662,137.692397027309,97.0291601584027,163.756572829784,131.811949816818,146.645421719335,94.310610278065,133.275564731281,184.009998952594,121.257046056718,163.797269611825,133.348416437105,171.199879004783,112.565156215041,161.953840606117,104.146685808505,137.883953997522,140.070311484126,151.246391426032,122.761550165889,139.397378150445,146.074771351529,170.541920431621,162.044318133148
"2",160.668886346384,188.282808345174,171.00426002868,111.273554715077,160.409156634222,147.596040476131,140.294103887192,140.348050594884,160.387404330409,172.1054147519,121.497190936004,99.6988537914362,131.292732585507,182.811599448548,169.851458852425,116.637316432362,177.340669902739,156.120905118073,188.774460261063,126.40803280018,175.909833786712,224.012495591389,139.435669937186,181.964128140533,166.613469690283,198.409903752037,162.714955316637,189.77072973929,129.737600277684,175.981720348024,182.49661206115,167.060898660108,149.458753550471,172.158116873073,150.393411214407,200.59127638463,197.777885339932
"3",163.75871325082,194.190730507906,172.768891047172,110.596459780247,160.89418424657,147.916065513825,155.651604046386,140.712175516158,165.841439440712,176.610751789039,125.93183553844,113.726462449707,137.804214167491,185.084759857575,175.204178060256,122.451995190148,188.307351112854,163.165160236786,188.153407210503,118.358568524652,170.292679668878,227.581372694648,148.403615826805,180.828759916576,169.772159912068,203.71676055547,158.079302853929,195.992449276351,133.475825216162,178.170721035203,185.213475906932,170.031740122259,154.974745440058,178.391027792804,158.624566526511,204.676465723157,200.104011061366
"4",154.312039451333,184.048308262439,163.809520826414,104.850063877123,151.218080509757,145.644111936297,141.229557455924,134.282371263599,159.279658976065,166.893050795136,118.833759269318,101.759570953977,129.96732944456,175.562636722776,166.497680956884,116.72431580006,180.993116060554,155.856478423353,178.402667633761,117.495371503229,161.647038432703,217.177066088094,142.856539631104,178.087316099664,162.072272935198,196.688879013121,146.002450354473,188.332956940256,127.099010397404,168.855668421124,173.673680336044,166.658946345763,148.441805582018,168.213998211454,157.369182216391,196.066476752087,191.293172191055
"5",153.479511159886,182.912376254807,163.403868621907,104.85463202622,151.127158548906,145.324147236398,140.125793806203,132.823866219051,157.240864694763,165.962873650163,117.689538657539,100.62067473155,128.392389099598,174.848587075071,165.506832828556,114.773295776153,177.897768340603,153.798221552691,179.014437600765,116.898725824145,163.684616631494,216.333692480237,138.779355696737,177.703068768009,161.045202876108,194.735986726093,149.951519502991,187.013647314287,125.904919271585,168.400827341315,174.181424856029,165.554501493226,145.931684167973,167.621184265316,149.833357014522,195.243939527865,190.419295730404
"6",155.888040319484,185.532305791995,165.650494729437,105.933406123917,153.505697546089,145.910402438946,144.522480774182,135.035075976474,159.258214103151,168.538007422965,119.531163137772,104.054321521566,130.485296297997,177.322761070113,167.465301909504,116.70682507002,181.213347344639,156.125460473448,181.058347232451,116.288069836175,165.041190025126,219.050521946863,141.331753889486,178.085898651984,162.622475551815,196.789640127048,151.477463929023,188.88784155759,127.554536260964,170.694254408013,176.581004959278,166.336177694625,148.284923402391,169.97739578934,154.774647871615,197.548292894773,192.720920050213
"7",156.151814875892,185.8331329369,165.788456471056,106.195390897962,153.5572005463,146.044369602483,143.501400768019,135.255375103817,159.8019753069,168.76136642111,119.862512177455,103.467042398641,130.90759758515,177.508361838005,167.934892130901,117.072882703538,180.998380133962,156.526048765606,180.996545258249,117.896005806212,164.68858230761,219.272921128518,142.596895022628,178.507669065256,163.299598610146,197.418395380581,150.015432706279,189.284860812608,127.987658335237,170.856606564527,176.541891315622,166.735790398145,148.835525188752,170.150834709327,154.736818161029,197.740793262111,193.030576698152
"8",155.495615180785,185.113369350504,165.190416793289,105.89185041825,152.936100308873,145.877411902966,142.878673389168,134.694962909449,159.15999748915,168.060159567161,119.350780774665,102.943236976754,130.320461182498,176.832069681522,167.309377845095,116.519119889278,180.473392891228,155.834958466832,180.531992030469,117.404042010525,164.502054695067,218.545686130814,141.382018460591,178.377862691645,162.847419513934,196.727354214685,150.473383613545,188.764217710666,127.469935343069,170.24393206246,175.979581025386,166.516981440786,148.06131131624,169.54566197667,153.515161415809,197.10961617033,192.361285423911
"9",155.434550189195,185.055504164926,165.158285728841,105.762583016232,152.927335327573,145.837881097022,143.280132162535,134.646536463344,159.089228507649,168.01900047388,119.275400265008,103.153866690076,130.227457899947,176.805394512163,167.204661849118,116.496909160286,180.586023760854,155.824119936076,180.501203062224,116.907408568484,164.488443798254,218.499309042672,141.224764519795,178.188060008292,162.472053067846,196.599377369541,150.663974926992,188.665314557483,127.364995224902,170.205842430795,175.933233993069,166.391927140415,148.072628773524,169.494902764185,154.163635641301,197.077350545176,192.305887913083
"10",155.61261802068,185.249252666841,165.319066127116,105.882035749298,153.090218730945,145.886080143628,143.19759875548,134.797894672327,159.252419303924,168.209408456631,119.414383186184,103.157782170344,130.388652381721,176.975767910782,167.413128418302,116.615353345042,180.578385823651,155.988039126631,180.62946907413,117.309882471696,164.534005985454,218.690182183244,141.688525959139,178.262860119297,162.746058408639,196.823304925456,150.275853408847,188.818681655054,127.533781990807,170.371700356802,176.109466874916,166.461003307751,148.220203130783,169.668414306334,153.92748421956,197.247688639321,192.487930795871
"11",155.619997949614,185.251605158919,165.321182256985,105.909808338039,153.087765561676,145.894829982068,143.183979329999,134.796781725671,159.248468457273,168.208889170386,119.425929343598,103.153358664558,130.401218998955,176.977770401932,167.385767512632,116.612357313551,180.642098033939,155.962934957454,180.641307620055,117.288800020486,164.563236130126,218.696999857477,141.587631081467,178.317700606794,162.846899733809,196.817317178038,150.417446631606,188.825927055128,127.534163306184,170.37379804216,176.109656958652,166.493038395404,148.202672164469,169.663333230137,154.00314425168,197.246106948133,192.487636427991
"12",155.576488852419,185.206687888504,165.281336461059,105.870809926887,153.047680234501,145.882191218158,143.235417505893,134.767168346983,159.221915890415,168.162365834692,119.392866031229,103.164219802847,130.363317035464,176.937860067852,167.361580652298,116.595179222597,180.61479216424,155.942605905719,180.605472375925,117.186814214219,164.543829279627,218.649795408243,141.474348052402,178.284901574824,162.691878239464,196.764414842824,150.548918114648,188.79272117016,127.49465081717,170.333348288152,176.064038096884,166.472680270874,148.192479618608,169.626957209478,154.048138426535,197.204929377138,192.447297163743
"13",155.575650439403,185.206848281123,165.281784233973,105.869573753219,153.048744860491,145.880357696145,143.192046001356,134.764265619838,159.219665557022,168.164532473364,119.390486237524,103.145059669406,130.361302099973,176.936185490001,167.36476468439,116.590193228066,180.593452057414,155.94653820955,180.603312434253,117.24164196056,164.532651946533,218.648267610018,141.554974848756,178.27444295068,162.716835085254,196.777439698353,150.420269023751,188.793078100996,127.501836124833,170.333860092358,176.068785644471,166.465516357443,148.181556869918,169.628939804545,153.959114536518,197.206756004333,192.447522896838
"14",155.58556682163,185.216554442227,165.29103107167,105.878621536155,153.058293554022,145.883383517483,143.195131891005,134.771782205892,159.223912149038,168.174766342839,119.397893476368,103.149169418215,130.369345215013,176.946057824362,167.362723994336,116.5941245827,180.613379287872,155.944991443598,180.612202209662,117.235849957884,164.540414288809,218.659781275389,141.55520545501,178.285001096598,162.768005238213,196.782933135491,150.411715828109,188.797850820973,127.505952896821,170.342996026989,176.076579892587,166.470757572399,148.186508181424,169.634745296095,154.011825238257,197.215892569364,192.455956015647
"15",155.586272594234,185.217448039332,165.291237064665,105.878000721979,153.058338526755,145.883913961803,143.21297330665,134.773307466135,159.227293989833,168.174615842752,119.39903590786,103.156591431359,130.370578165907,176.946993052008,167.370585142931,116.597664446891,180.610057176563,155.949292805475,180.61290744261,117.225599480548,164.543534571624,218.660489303283,141.526509598747,178.286031268976,162.729058414527,196.780209750527,150.472913771606,188.79968676015,127.505458017757,170.34334496747,176.076784912273,166.472456547973,148.192642657945,169.63666654337,154.004099045981,197.215870924722,192.457105689985
"16",155.583705032478,185.214783129459,165.288885422207,105.87630551048,153.055865999079,145.883142602954,143.202634182563,134.770864391197,159.224908672698,168.172119954816,119.397035443288,103.152052289463,130.368445929742,176.944230370695,167.366574009833,116.595092207526,180.607894735687,155.948681572815,180.610612613929,117.235226836282,164.540674172493,218.657478350459,141.54176437623,178.283308341976,162.729936305817,196.781065376814,150.452641990483,188.798227556757,127.505476229197,170.34098250654,176.074937368521,166.47113199141,148.187944631941,169.634438211186,153.99428752737,197.213566638971,192.454609228181
"17",155.58345636317,185.214484479763,165.288774692773,105.876423862366,153.055818752998,145.882992941049,143.201338706986,134.770677199504,159.224203165668,168.172043554705,119.396709538843,103.151296525525,130.368040836041,176.944060697803,167.365348240163,116.594663033027,180.609212499011,155.94633945758,180.610375716397,117.231493180591,164.540078777252,218.65728450546,141.544988566954,178.283486259166,162.747785966025,196.78037949904,150.43453568456,188.797390124042,127.504556458417,170.34082524669,176.074388089473,166.470710334582,148.188008938099,169.633808819561,154.003768820158,197.21348663022,192.454279026909
